case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.15495682021304907,430
1,0.01,0.01,0.01,0.03,0.12867986939723425,430
2,0.01,0.01,0.01,0.05,0.11850645121910833,430
3,0.01,0.01,0.03,0.01,0.11577382179887967,430
4,0.01,0.01,0.03,0.03,0.10688132405099819,430
5,0.01,0.01,0.03,0.05,0.11116816653659782,430
6,0.01,0.01,0.05,0.01,0.12897653322411565,430
7,0.01,0.01,0.05,0.03,0.11860922030142448,430
8,0.01,0.01,0.05,0.05,0.12657161246141216,430
9,0.01,0.03,0.01,0.01,0.13882681687846227,430
10,0.01,0.03,0.01,0.03,0.1268417587174831,430
11,0.01,0.03,0.01,0.05,0.12984022788621885,430
12,0.01,0.03,0.03,0.01,0.13489454509653523,430
13,0.01,0.03,0.03,0.03,0.12573437764293546,430
14,0.01,0.03,0.03,0.05,0.13483659249524765,430
15,0.01,0.03,0.05,0.01,0.14865439347778678,430
16,0.01,0.03,0.05,0.03,0.13791901398854206,430
17,0.01,0.03,0.05,0.05,0.14938651670054842,430
18,0.01,0.05,0.01,0.01,0.1804543619978751,430
19,0.01,0.05,0.01,0.03,0.19959862399471032,430
20,0.01,0.05,0.01,0.05,0.21864837729732,430
21,0.01,0.05,0.03,0.01,0.1672167374988786,430
22,0.01,0.05,0.03,0.03,0.18878742322960065,430
23,0.01,0.05,0.03,0.05,0.2093057035803228,430
24,0.01,0.05,0.05,0.01,0.16676433355754816,430
25,0.01,0.05,0.05,0.03,0.18021336356977657,430
26,0.01,0.05,0.05,0.05,0.20028130182658446,430
27,0.03,0.01,0.01,0.01,0.13957423021805462,430
28,0.03,0.01,0.01,0.03,0.11412617883383647,430
29,0.03,0.01,0.01,0.05,0.10541384094743877,430
30,0.03,0.01,0.03,0.01,0.10754236314430243,430
31,0.03,0.01,0.03,0.03,0.10622894512883888,430
32,0.03,0.01,0.03,0.05,0.11226316826408674,430
33,0.03,0.01,0.05,0.01,0.14916671652111144,430
34,0.03,0.01,0.05,0.03,0.1437262680279327,430
35,0.03,0.01,0.05,0.05,0.14346339903732733,430
36,0.03,0.03,0.01,0.01,0.13045220672599792,430
37,0.03,0.03,0.01,0.03,0.10727441341675974,430
38,0.03,0.03,0.01,0.05,0.1051215293830835,430
39,0.03,0.03,0.03,0.01,0.11260445524214768,430
40,0.03,0.03,0.03,0.03,0.09629949428252808,430
41,0.03,0.03,0.03,0.05,0.09663399420552996,430
42,0.03,0.03,0.05,0.01,0.1330969222698299,430
43,0.03,0.03,0.05,0.03,0.11439789338827092,430
44,0.03,0.03,0.05,0.05,0.11296221406060887,430
45,0.03,0.05,0.01,0.01,0.1612288411453689,430
46,0.03,0.05,0.01,0.03,0.14057241402988924,430
47,0.03,0.05,0.01,0.05,0.14803045598107306,430
48,0.03,0.05,0.03,0.01,0.13010343389782494,430
49,0.03,0.05,0.03,0.03,0.12448444429388625,430
50,0.03,0.05,0.03,0.05,0.13202573535430054,430
51,0.03,0.05,0.05,0.01,0.12774115625159768,430
52,0.03,0.05,0.05,0.03,0.11402938504132479,430
53,0.03,0.05,0.05,0.05,0.11715256083877348,430
54,0.05,0.01,0.01,0.01,0.14430059954496005,430
55,0.05,0.01,0.01,0.03,0.13219724588301895,430
56,0.05,0.01,0.01,0.05,0.1290712450005294,430
57,0.05,0.01,0.03,0.01,0.1349369326143581,430
58,0.05,0.01,0.03,0.03,0.13159478728684604,430
59,0.05,0.01,0.03,0.05,0.13079826170442552,430
60,0.05,0.01,0.05,0.01,0.14740444456066676,430
61,0.05,0.01,0.05,0.03,0.14400206985441488,430
62,0.05,0.01,0.05,0.05,0.14227193632645935,430
63,0.05,0.03,0.01,0.01,0.16862246207734,430
64,0.05,0.03,0.01,0.03,0.12729312546238108,430
65,0.05,0.03,0.01,0.05,0.11392110065232863,430
66,0.05,0.03,0.03,0.01,0.13571608111023253,430
67,0.05,0.03,0.03,0.03,0.10589281084087505,430
68,0.05,0.03,0.03,0.05,0.09643777666928864,430
69,0.05,0.03,0.05,0.01,0.13876739499982144,430
70,0.05,0.03,0.05,0.03,0.11589709297251856,430
71,0.05,0.03,0.05,0.05,0.10881148128590257,430
72,0.05,0.05,0.01,0.01,0.21421053914308538,430
73,0.05,0.05,0.01,0.03,0.1671813614865854,430
74,0.05,0.05,0.01,0.05,0.15016415445309467,430
75,0.05,0.05,0.03,0.01,0.1635054159144777,430
76,0.05,0.05,0.03,0.03,0.13002945807040572,430
77,0.05,0.05,0.03,0.05,0.11954242028868305,430
78,0.05,0.05,0.05,0.01,0.14687828394371072,430
79,0.05,0.05,0.05,0.03,0.11955215570940907,430
80,0.05,0.05,0.05,0.05,0.11292687273653532,430
