case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.12072024127354779,430
1,0.01,0.01,0.01,0.03,0.06118977864321885,430
2,0.01,0.01,0.01,0.05,0.07057513050281836,430
3,0.01,0.01,0.03,0.01,0.2580125476051745,430
4,0.01,0.01,0.03,0.03,0.19278823942338624,430
5,0.01,0.01,0.03,0.05,0.13351848433423893,430
6,0.01,0.01,0.05,0.01,0.4573168650337496,430
7,0.01,0.01,0.05,0.03,0.38188095905328545,430
8,0.01,0.01,0.05,0.05,0.3041234385134671,430
9,0.01,0.03,0.01,0.01,0.11395535046091727,430
10,0.01,0.03,0.01,0.03,0.07258122539701362,430
11,0.01,0.03,0.01,0.05,0.0743466848107211,430
12,0.01,0.03,0.03,0.01,0.18056585504760153,430
13,0.01,0.03,0.03,0.03,0.12846420997818842,430
14,0.01,0.03,0.03,0.05,0.08401807579584421,430
15,0.01,0.03,0.05,0.01,0.3005328912906965,430
16,0.01,0.03,0.05,0.03,0.23404251546559984,430
17,0.01,0.03,0.05,0.05,0.17220226711482178,430
18,0.01,0.05,0.01,0.01,0.1838274353030494,430
19,0.01,0.05,0.01,0.03,0.15556115333728895,430
20,0.01,0.05,0.01,0.05,0.13849261809093802,430
21,0.01,0.05,0.03,0.01,0.2444343754875613,430
22,0.01,0.05,0.03,0.03,0.20957566438504732,430
23,0.01,0.05,0.03,0.05,0.17814193389388003,430
24,0.01,0.05,0.05,0.01,0.33033654667627427,430
25,0.01,0.05,0.05,0.03,0.2813316262089042,430
26,0.01,0.05,0.05,0.05,0.2352718396244276,430
27,0.03,0.01,0.01,0.01,0.037650458566977414,430
28,0.03,0.01,0.01,0.03,0.039060714872861294,430
29,0.03,0.01,0.01,0.05,0.0670956935612278,430
30,0.03,0.01,0.03,0.01,0.18182248861330008,430
31,0.03,0.01,0.03,0.03,0.13263103221762312,430
32,0.03,0.01,0.03,0.05,0.08639003274936657,430
33,0.03,0.01,0.05,0.01,0.340462339652882,430
34,0.03,0.01,0.05,0.03,0.2757789710446831,430
35,0.03,0.01,0.05,0.05,0.21534901949681123,430
36,0.03,0.03,0.01,0.01,0.048790153320935115,430
37,0.03,0.03,0.01,0.03,0.0784357307397072,430
38,0.03,0.03,0.01,0.05,0.10314954328187043,430
39,0.03,0.03,0.03,0.01,0.07485540793897175,430
40,0.03,0.03,0.03,0.03,0.03130095037606445,430
41,0.03,0.03,0.03,0.05,0.039900124286384994,430
42,0.03,0.03,0.05,0.01,0.18648503718219603,430
43,0.03,0.03,0.05,0.03,0.12973094024916323,430
44,0.03,0.03,0.05,0.05,0.08146691421974672,430
45,0.03,0.05,0.01,0.01,0.08096513896383384,430
46,0.03,0.05,0.01,0.03,0.09635486900728421,430
47,0.03,0.05,0.01,0.05,0.10865502999882573,430
48,0.03,0.05,0.03,0.01,0.0483688843751479,430
49,0.03,0.05,0.03,0.03,0.04060888850831121,430
50,0.03,0.05,0.03,0.05,0.05224879125014074,430
51,0.03,0.05,0.05,0.01,0.13591355939419725,430
52,0.03,0.05,0.05,0.03,0.09642910395638098,430
53,0.03,0.05,0.05,0.05,0.06296321015280888,430
54,0.05,0.01,0.01,0.01,0.06451897604763689,430
55,0.05,0.01,0.01,0.03,0.060322882207548424,430
56,0.05,0.01,0.01,0.05,0.06539005610308193,430
57,0.05,0.01,0.03,0.01,0.148647976636809,430
58,0.05,0.01,0.03,0.03,0.11584936293146955,430
59,0.05,0.01,0.03,0.05,0.08632293279556232,430
60,0.05,0.01,0.05,0.01,0.2919870806499586,430
61,0.05,0.01,0.05,0.03,0.23134175874082857,430
62,0.05,0.01,0.05,0.05,0.17394931265153848,430
63,0.05,0.03,0.01,0.01,0.0652970363818181,430
64,0.05,0.03,0.01,0.03,0.08266156127464955,430
65,0.05,0.03,0.01,0.05,0.10429375125606784,430
66,0.05,0.03,0.03,0.01,0.05361821901452868,430
67,0.05,0.03,0.03,0.03,0.028737970647497994,430
68,0.05,0.03,0.03,0.05,0.04984455106587768,430
69,0.05,0.03,0.05,0.01,0.15733024323267994,430
70,0.05,0.03,0.05,0.03,0.10301418414160919,430
71,0.05,0.03,0.05,0.05,0.06290423109662444,430
72,0.05,0.05,0.01,0.01,0.11295503167200167,430
73,0.05,0.05,0.01,0.03,0.12586412636651287,430
74,0.05,0.05,0.01,0.05,0.137775798237947,430
75,0.05,0.05,0.03,0.01,0.04604769366462662,430
76,0.05,0.05,0.03,0.03,0.06670850883431975,430
77,0.05,0.05,0.03,0.05,0.08911162430826165,430
78,0.05,0.05,0.05,0.01,0.09010133590000331,430
79,0.05,0.05,0.05,0.03,0.04889222703778787,430
80,0.05,0.05,0.05,0.05,0.03605102007863746,430
