case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.06518658404173547,430
1,0.01,0.01,0.01,0.03,0.09388978328226219,430
2,0.01,0.01,0.01,0.05,0.15916631662101785,430
3,0.01,0.01,0.03,0.01,0.07441334095438457,430
4,0.01,0.01,0.03,0.03,0.06214660778815791,430
5,0.01,0.01,0.03,0.05,0.0646152324394876,430
6,0.01,0.01,0.05,0.01,0.132156134115875,430
7,0.01,0.01,0.05,0.03,0.13456102694530261,430
8,0.01,0.01,0.05,0.05,0.10125479284972087,430
9,0.01,0.03,0.01,0.01,0.1712392456142668,430
10,0.01,0.03,0.01,0.03,0.1879007200213266,430
11,0.01,0.03,0.01,0.05,0.226780271876568,430
12,0.01,0.03,0.03,0.01,0.08262681795826753,430
13,0.01,0.03,0.03,0.03,0.0788220171038873,430
14,0.01,0.03,0.03,0.05,0.10525588530614893,430
15,0.01,0.03,0.05,0.01,0.056616274789499835,430
16,0.01,0.03,0.05,0.03,0.0649659803908041,430
17,0.01,0.03,0.05,0.05,0.0658184759552545,430
18,0.01,0.05,0.01,0.01,0.28137130968885965,430
19,0.01,0.05,0.01,0.03,0.3105889584376105,430
20,0.01,0.05,0.01,0.05,0.32501438011774636,430
21,0.01,0.05,0.03,0.01,0.17885966195608063,430
22,0.01,0.05,0.03,0.03,0.18858609114403874,430
23,0.01,0.05,0.03,0.05,0.18938344249901323,430
24,0.01,0.05,0.05,0.01,0.10668755254393222,430
25,0.01,0.05,0.05,0.03,0.08968048548270205,430
26,0.01,0.05,0.05,0.05,0.07410437132687564,430
27,0.03,0.01,0.01,0.01,0.038266078558404935,430
28,0.03,0.01,0.01,0.03,0.03394651115929208,430
29,0.03,0.01,0.01,0.05,0.04626176855450623,430
30,0.03,0.01,0.03,0.01,0.054705960596653114,430
31,0.03,0.01,0.03,0.03,0.050251033760209916,430
32,0.03,0.01,0.03,0.05,0.046651271095873484,430
33,0.03,0.01,0.05,0.01,0.06731983668534817,430
34,0.03,0.01,0.05,0.03,0.06659824938911232,430
35,0.03,0.01,0.05,0.05,0.06298590510094651,430
36,0.03,0.03,0.01,0.01,0.04096364131329458,430
37,0.03,0.03,0.01,0.03,0.04087885175615031,430
38,0.03,0.03,0.01,0.05,0.03932050849574817,430
39,0.03,0.03,0.03,0.01,0.028247245900246777,430
40,0.03,0.03,0.03,0.03,0.023825748963483544,430
41,0.03,0.03,0.03,0.05,0.02090526920004127,430
42,0.03,0.03,0.05,0.01,0.030822310703628886,430
43,0.03,0.03,0.05,0.03,0.02708245767609292,430
44,0.03,0.03,0.05,0.05,0.02620208887837506,430
45,0.03,0.05,0.01,0.01,0.08869499512170909,430
46,0.03,0.05,0.01,0.03,0.09275990277735131,430
47,0.03,0.05,0.01,0.05,0.08004248269964129,430
48,0.03,0.05,0.03,0.01,0.05602012618293186,430
49,0.03,0.05,0.03,0.03,0.06410357997390383,430
50,0.03,0.05,0.03,0.05,0.05536824695172462,430
51,0.03,0.05,0.05,0.01,0.03106655125443909,430
52,0.03,0.05,0.05,0.03,0.027141629447461995,430
53,0.03,0.05,0.05,0.05,0.02531779044996555,430
54,0.05,0.01,0.01,0.01,0.07608661653227981,430
55,0.05,0.01,0.01,0.03,0.06903456716665027,430
56,0.05,0.01,0.01,0.05,0.06806983881242301,430
57,0.05,0.01,0.03,0.01,0.08115196584592642,430
58,0.05,0.01,0.03,0.03,0.0722837272780128,430
59,0.05,0.01,0.03,0.05,0.0705757523279248,430
60,0.05,0.01,0.05,0.01,0.10831732242648096,430
61,0.05,0.01,0.05,0.03,0.0911977081745277,430
62,0.05,0.01,0.05,0.05,0.08658336806353333,430
63,0.05,0.03,0.01,0.01,0.032799148987082485,430
64,0.05,0.03,0.01,0.03,0.0449251328949537,430
65,0.05,0.03,0.01,0.05,0.06275821822357279,430
66,0.05,0.03,0.03,0.01,0.025460996383177403,430
67,0.05,0.03,0.03,0.03,0.03314262673936517,430
68,0.05,0.03,0.03,0.05,0.05395640390616076,430
69,0.05,0.03,0.05,0.01,0.06929467222239105,430
70,0.05,0.03,0.05,0.03,0.04655969385320728,430
71,0.05,0.03,0.05,0.05,0.03863635124705247,430
72,0.05,0.05,0.01,0.01,0.04733253280632521,430
73,0.05,0.05,0.01,0.03,0.0455021525140118,430
74,0.05,0.05,0.01,0.05,0.060981493919967454,430
75,0.05,0.05,0.03,0.01,0.0411366751355763,430
76,0.05,0.05,0.03,0.03,0.03307003149001044,430
77,0.05,0.05,0.03,0.05,0.03949595566462104,430
78,0.05,0.05,0.05,0.01,0.06561941996358028,430
79,0.05,0.05,0.05,0.03,0.04878259701967823,430
80,0.05,0.05,0.05,0.05,0.02787821617209607,430
