case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.2014990097626599,430
1,0.01,0.01,0.01,0.03,0.18010255577817574,430
2,0.01,0.01,0.01,0.05,0.1729978063922736,430
3,0.01,0.01,0.03,0.01,0.13083035258611644,430
4,0.01,0.01,0.03,0.03,0.14574547056856002,430
5,0.01,0.01,0.03,0.05,0.15961701018450825,430
6,0.01,0.01,0.05,0.01,0.14364420929517252,430
7,0.01,0.01,0.05,0.03,0.16712133728984016,430
8,0.01,0.01,0.05,0.05,0.18501182974296243,430
9,0.01,0.03,0.01,0.01,0.12318458731333029,430
10,0.01,0.03,0.01,0.03,0.12540304446581263,430
11,0.01,0.03,0.01,0.05,0.13413602089030563,430
12,0.01,0.03,0.03,0.01,0.12872815006696178,430
13,0.01,0.03,0.03,0.03,0.13901174762418136,430
14,0.01,0.03,0.03,0.05,0.15028191854231904,430
15,0.01,0.03,0.05,0.01,0.15014694088795327,430
16,0.01,0.03,0.05,0.03,0.16988164175243364,430
17,0.01,0.03,0.05,0.05,0.1827790982457366,430
18,0.01,0.05,0.01,0.01,0.15839472957782044,430
19,0.01,0.05,0.01,0.03,0.17440771030446808,430
20,0.01,0.05,0.01,0.05,0.1868315077702674,430
21,0.01,0.05,0.03,0.01,0.16183345830713264,430
22,0.01,0.05,0.03,0.03,0.1776484544286289,430
23,0.01,0.05,0.03,0.05,0.18743320757181361,430
24,0.01,0.05,0.05,0.01,0.17181796266677757,430
25,0.01,0.05,0.05,0.03,0.1886898916026399,430
26,0.01,0.05,0.05,0.05,0.19802811042934054,430
27,0.03,0.01,0.01,0.01,0.16416377792230336,430
28,0.03,0.01,0.01,0.03,0.1259087468023768,430
29,0.03,0.01,0.01,0.05,0.10863214631725682,430
30,0.03,0.01,0.03,0.01,0.1136101423954852,430
31,0.03,0.01,0.03,0.03,0.11274967206023186,430
32,0.03,0.01,0.03,0.05,0.11871620547141497,430
33,0.03,0.01,0.05,0.01,0.1516489297668133,430
34,0.03,0.01,0.05,0.03,0.14904522708115528,430
35,0.03,0.01,0.05,0.05,0.15070856314837897,430
36,0.03,0.03,0.01,0.01,0.11204945083735782,430
37,0.03,0.03,0.01,0.03,0.092502604611958,430
38,0.03,0.03,0.01,0.05,0.08958397559877898,430
39,0.03,0.03,0.03,0.01,0.10073614317549857,430
40,0.03,0.03,0.03,0.03,0.08795570114884235,430
41,0.03,0.03,0.03,0.05,0.09009810227198385,430
42,0.03,0.03,0.05,0.01,0.12226413121056567,430
43,0.03,0.03,0.05,0.03,0.11175332531410305,430
44,0.03,0.03,0.05,0.05,0.11573428303865585,430
45,0.03,0.05,0.01,0.01,0.15156004801918813,430
46,0.03,0.05,0.01,0.03,0.11204678497382078,430
47,0.03,0.05,0.01,0.05,0.1108599023573962,430
48,0.03,0.05,0.03,0.01,0.11141987801595052,430
49,0.03,0.05,0.03,0.03,0.0968153050628849,430
50,0.03,0.05,0.03,0.05,0.09565299117542243,430
51,0.03,0.05,0.05,0.01,0.11261690868630983,430
52,0.03,0.05,0.05,0.03,0.09976353849525672,430
53,0.03,0.05,0.05,0.05,0.10475117533456632,430
54,0.05,0.01,0.01,0.01,0.1608810797453816,430
55,0.05,0.01,0.01,0.03,0.1449663091322697,430
56,0.05,0.01,0.01,0.05,0.13802904308712405,430
57,0.05,0.01,0.03,0.01,0.13982987712268904,430
58,0.05,0.01,0.03,0.03,0.13624395397837982,430
59,0.05,0.01,0.03,0.05,0.13513251591598546,430
60,0.05,0.01,0.05,0.01,0.14765957154361356,430
61,0.05,0.01,0.05,0.03,0.1474560628828943,430
62,0.05,0.01,0.05,0.05,0.14760276394261784,430
63,0.05,0.03,0.01,0.01,0.1390417368811725,430
64,0.05,0.03,0.01,0.03,0.10541638304067377,430
65,0.05,0.03,0.01,0.05,0.09821778600734743,430
66,0.05,0.03,0.03,0.01,0.10316068530521635,430
67,0.05,0.03,0.03,0.03,0.0846757421872837,430
68,0.05,0.03,0.03,0.05,0.08142615694070114,430
69,0.05,0.03,0.05,0.01,0.11488264813377633,430
70,0.05,0.03,0.05,0.03,0.10464312226090142,430
71,0.05,0.03,0.05,0.05,0.10427506079096809,430
72,0.05,0.05,0.01,0.01,0.21342274176195447,430
73,0.05,0.05,0.01,0.03,0.1521652857505337,430
74,0.05,0.05,0.01,0.05,0.12814935779062378,430
75,0.05,0.05,0.03,0.01,0.13743801888039697,430
76,0.05,0.05,0.03,0.03,0.1023825678795756,430
77,0.05,0.05,0.03,0.05,0.09179417162960798,430
78,0.05,0.05,0.05,0.01,0.1180885045270268,430
79,0.05,0.05,0.05,0.03,0.10116676833018781,430
80,0.05,0.05,0.05,0.05,0.10316932484779699,430
