case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.09858276039181199,430
1,0.01,0.01,0.01,0.03,0.09415378242996243,430
2,0.01,0.01,0.01,0.05,0.09948757426897233,430
3,0.01,0.01,0.03,0.01,0.09072601740654473,430
4,0.01,0.01,0.03,0.03,0.10030192780304344,430
5,0.01,0.01,0.03,0.05,0.10791777933390896,430
6,0.01,0.01,0.05,0.01,0.11878564708140693,430
7,0.01,0.01,0.05,0.03,0.1221316910724215,430
8,0.01,0.01,0.05,0.05,0.12369715794147387,430
9,0.01,0.03,0.01,0.01,0.11409661895128316,430
10,0.01,0.03,0.01,0.03,0.11750063221210856,430
11,0.01,0.03,0.01,0.05,0.12416878833263452,430
12,0.01,0.03,0.03,0.01,0.12608604256625158,430
13,0.01,0.03,0.03,0.03,0.12169167257535222,430
14,0.01,0.03,0.03,0.05,0.12081699292887223,430
15,0.01,0.03,0.05,0.01,0.14388210813989694,430
16,0.01,0.03,0.05,0.03,0.13644261704178737,430
17,0.01,0.03,0.05,0.05,0.1324691462899856,430
18,0.01,0.05,0.01,0.01,0.20319522021415698,430
19,0.01,0.05,0.01,0.03,0.19051892149198993,430
20,0.01,0.05,0.01,0.05,0.18629025047957365,430
21,0.01,0.05,0.03,0.01,0.18776060034669712,430
22,0.01,0.05,0.03,0.03,0.1717342805616859,430
23,0.01,0.05,0.03,0.05,0.16405057594198647,430
24,0.01,0.05,0.05,0.01,0.1757636297651538,430
25,0.01,0.05,0.05,0.03,0.1607017537412277,430
26,0.01,0.05,0.05,0.05,0.1536499054013057,430
27,0.03,0.01,0.01,0.01,0.07330952948623018,430
28,0.03,0.01,0.01,0.03,0.05911656399001595,430
29,0.03,0.01,0.01,0.05,0.078372043987472,430
30,0.03,0.01,0.03,0.01,0.06709325625669676,430
31,0.03,0.01,0.03,0.03,0.084354889318395,430
32,0.03,0.01,0.03,0.05,0.0961586562495378,430
33,0.03,0.01,0.05,0.01,0.104227718676273,430
34,0.03,0.01,0.05,0.03,0.11205830453484036,430
35,0.03,0.01,0.05,0.05,0.11401084524596741,430
36,0.03,0.03,0.01,0.01,0.060600016005756686,430
37,0.03,0.03,0.01,0.03,0.07500617359473818,430
38,0.03,0.03,0.01,0.05,0.0890033572221646,430
39,0.03,0.03,0.03,0.01,0.065977796095983,430
40,0.03,0.03,0.03,0.03,0.07499412062250882,430
41,0.03,0.03,0.03,0.05,0.08058038727723935,430
42,0.03,0.03,0.05,0.01,0.08407245028227214,430
43,0.03,0.03,0.05,0.03,0.08492828108339116,430
44,0.03,0.03,0.05,0.05,0.08444725137061476,430
45,0.03,0.05,0.01,0.01,0.11245291547026297,430
46,0.03,0.05,0.01,0.03,0.1198936493604642,430
47,0.03,0.05,0.01,0.05,0.12796431772817957,430
48,0.03,0.05,0.03,0.01,0.0976384521023123,430
49,0.03,0.05,0.03,0.03,0.09969619251736024,430
50,0.03,0.05,0.03,0.05,0.10268404567352238,430
51,0.03,0.05,0.05,0.01,0.09592138078013746,430
52,0.03,0.05,0.05,0.03,0.09350920447646408,430
53,0.03,0.05,0.05,0.05,0.09320016704301787,430
54,0.05,0.01,0.01,0.01,0.0731658766225283,430
55,0.05,0.01,0.01,0.03,0.06812882083594679,430
56,0.05,0.01,0.01,0.05,0.07262681059933969,430
57,0.05,0.01,0.03,0.01,0.0737722788919456,430
58,0.05,0.01,0.03,0.03,0.07710074039809109,430
59,0.05,0.01,0.03,0.05,0.07993449411561605,430
60,0.05,0.01,0.05,0.01,0.0904033192029328,430
61,0.05,0.01,0.05,0.03,0.09270721893102302,430
62,0.05,0.01,0.05,0.05,0.09409557105004743,430
63,0.05,0.03,0.01,0.01,0.0761532392449119,430
64,0.05,0.03,0.01,0.03,0.08596122001313754,430
65,0.05,0.03,0.01,0.05,0.09125403123539588,430
66,0.05,0.03,0.03,0.01,0.06467940588756946,430
67,0.05,0.03,0.03,0.03,0.06805725198484866,430
68,0.05,0.03,0.03,0.05,0.06738100553002627,430
69,0.05,0.03,0.05,0.01,0.06302633138802811,430
70,0.05,0.03,0.05,0.03,0.06330123710653544,430
71,0.05,0.03,0.05,0.05,0.06304032522892736,430
72,0.05,0.05,0.01,0.01,0.1214477279325226,430
73,0.05,0.05,0.01,0.03,0.12393086678538492,430
74,0.05,0.05,0.01,0.05,0.12552902193861293,430
75,0.05,0.05,0.03,0.01,0.08453366291170553,430
76,0.05,0.05,0.03,0.03,0.082019992535806,430
77,0.05,0.05,0.03,0.05,0.0811371143178852,430
78,0.05,0.05,0.05,0.01,0.0657297290446101,430
79,0.05,0.05,0.05,0.03,0.0662370041952359,430
80,0.05,0.05,0.05,0.05,0.06974823487965769,430
