case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.11481286919239823,430
1,0.01,0.01,0.01,0.03,0.12044724440726937,430
2,0.01,0.01,0.01,0.05,0.12821672730857422,430
3,0.01,0.01,0.03,0.01,0.09391469737756464,430
4,0.01,0.01,0.03,0.03,0.10663733152896501,430
5,0.01,0.01,0.03,0.05,0.12370245445915873,430
6,0.01,0.01,0.05,0.01,0.1215497303689554,430
7,0.01,0.01,0.05,0.03,0.13603805837031152,430
8,0.01,0.01,0.05,0.05,0.15295221918885984,430
9,0.01,0.03,0.01,0.01,0.13382926265074016,430
10,0.01,0.03,0.01,0.03,0.1066191313008313,430
11,0.01,0.03,0.01,0.05,0.10421463319455981,430
12,0.01,0.03,0.03,0.01,0.15112430329083867,430
13,0.01,0.03,0.03,0.03,0.1220301857773725,430
14,0.01,0.03,0.03,0.05,0.12646727190115098,430
15,0.01,0.03,0.05,0.01,0.16229637285143922,430
16,0.01,0.03,0.05,0.03,0.16300262193297785,430
17,0.01,0.03,0.05,0.05,0.17705285206062882,430
18,0.01,0.05,0.01,0.01,0.17227734856084861,430
19,0.01,0.05,0.01,0.03,0.147804730993647,430
20,0.01,0.05,0.01,0.05,0.14246965113297033,430
21,0.01,0.05,0.03,0.01,0.1864868125578393,430
22,0.01,0.05,0.03,0.03,0.1626592945691753,430
23,0.01,0.05,0.03,0.05,0.16203804433620236,430
24,0.01,0.05,0.05,0.01,0.21043956150440887,430
25,0.01,0.05,0.05,0.03,0.2067174397060682,430
26,0.01,0.05,0.05,0.05,0.2156104186351185,430
27,0.03,0.01,0.01,0.01,0.09606131581746018,430
28,0.03,0.01,0.01,0.03,0.077401234159545,430
29,0.03,0.01,0.01,0.05,0.08018738190176726,430
30,0.03,0.01,0.03,0.01,0.10033689377735074,430
31,0.03,0.01,0.03,0.03,0.10760477151802628,430
32,0.03,0.01,0.03,0.05,0.11241308873128104,430
33,0.03,0.01,0.05,0.01,0.14518680485114227,430
34,0.03,0.01,0.05,0.03,0.14190408965556456,430
35,0.03,0.01,0.05,0.05,0.13988681252648105,430
36,0.03,0.03,0.01,0.01,0.08653818768364706,430
37,0.03,0.03,0.01,0.03,0.08055438872004081,430
38,0.03,0.03,0.01,0.05,0.08117595651092603,430
39,0.03,0.03,0.03,0.01,0.09209703370372177,430
40,0.03,0.03,0.03,0.03,0.08837247437358527,430
41,0.03,0.03,0.03,0.05,0.08982146571459518,430
42,0.03,0.03,0.05,0.01,0.10791131940772603,430
43,0.03,0.03,0.05,0.03,0.10544445053480303,430
44,0.03,0.03,0.05,0.05,0.10785111512852363,430
45,0.03,0.05,0.01,0.01,0.12962407266891224,430
46,0.03,0.05,0.01,0.03,0.12006220832467016,430
47,0.03,0.05,0.01,0.05,0.1204094748858164,430
48,0.03,0.05,0.03,0.01,0.1193342531031358,430
49,0.03,0.05,0.03,0.03,0.11284957180616587,430
50,0.03,0.05,0.03,0.05,0.11189109442817276,430
51,0.03,0.05,0.05,0.01,0.13113860153209939,430
52,0.03,0.05,0.05,0.03,0.12550863918871946,430
53,0.03,0.05,0.05,0.05,0.12276542747675752,430
54,0.05,0.01,0.01,0.01,0.11809500275770117,430
55,0.05,0.01,0.01,0.03,0.1159001826050599,430
56,0.05,0.01,0.01,0.05,0.11918687365860876,430
57,0.05,0.01,0.03,0.01,0.1190793267570676,430
58,0.05,0.01,0.03,0.03,0.12341064204547995,430
59,0.05,0.01,0.03,0.05,0.12669697717413203,430
60,0.05,0.01,0.05,0.01,0.13547236889462583,430
61,0.05,0.01,0.05,0.03,0.13743154109755387,430
62,0.05,0.01,0.05,0.05,0.13871329580206765,430
63,0.05,0.03,0.01,0.01,0.08726691035388401,430
64,0.05,0.03,0.01,0.03,0.08446146753929352,430
65,0.05,0.03,0.01,0.05,0.08495619274900248,430
66,0.05,0.03,0.03,0.01,0.0756474761463207,430
67,0.05,0.03,0.03,0.03,0.07268474845060349,430
68,0.05,0.03,0.03,0.05,0.07374636905328356,430
69,0.05,0.03,0.05,0.01,0.08912312949322469,430
70,0.05,0.03,0.05,0.03,0.0906612910499616,430
71,0.05,0.03,0.05,0.05,0.09532897989464757,430
72,0.05,0.05,0.01,0.01,0.14636580535509794,430
73,0.05,0.05,0.01,0.03,0.139212400204757,430
74,0.05,0.05,0.01,0.05,0.1385915014365366,430
75,0.05,0.05,0.03,0.01,0.10928475232333859,430
76,0.05,0.05,0.03,0.03,0.10300817607718826,430
77,0.05,0.05,0.03,0.05,0.10199097262893533,430
78,0.05,0.05,0.05,0.01,0.1030339490943318,430
79,0.05,0.05,0.05,0.03,0.09812255351642403,430
80,0.05,0.05,0.05,0.05,0.1001370262422667,430
