case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.1372282926720615,430
1,0.01,0.01,0.01,0.03,0.14464301444976663,430
2,0.01,0.01,0.01,0.05,0.16400368270288027,430
3,0.01,0.01,0.03,0.01,0.14828220125807634,430
4,0.01,0.01,0.03,0.03,0.1492121787043585,430
5,0.01,0.01,0.03,0.05,0.15684009591467138,430
6,0.01,0.01,0.05,0.01,0.15513100900675425,430
7,0.01,0.01,0.05,0.03,0.1450731723142338,430
8,0.01,0.01,0.05,0.05,0.14162931808167778,430
9,0.01,0.03,0.01,0.01,0.12170569498887669,430
10,0.01,0.03,0.01,0.03,0.11390459788282156,430
11,0.01,0.03,0.01,0.05,0.12880921090570666,430
12,0.01,0.03,0.03,0.01,0.11690325978770966,430
13,0.01,0.03,0.03,0.03,0.1302271805220943,430
14,0.01,0.03,0.03,0.05,0.1465705734494994,430
15,0.01,0.03,0.05,0.01,0.131817825984752,430
16,0.01,0.03,0.05,0.03,0.13932505611306611,430
17,0.01,0.03,0.05,0.05,0.1456212030700575,430
18,0.01,0.05,0.01,0.01,0.18748234340913864,430
19,0.01,0.05,0.01,0.03,0.15137805753037817,430
20,0.01,0.05,0.01,0.05,0.14101070126292756,430
21,0.01,0.05,0.03,0.01,0.1404469626709012,430
22,0.01,0.05,0.03,0.03,0.139566620163366,430
23,0.01,0.05,0.03,0.05,0.14905117261776127,430
24,0.01,0.05,0.05,0.01,0.15103493654568856,430
25,0.01,0.05,0.05,0.03,0.1607141436125033,430
26,0.01,0.05,0.05,0.05,0.16933387887900628,430
27,0.03,0.01,0.01,0.01,0.09967213402665125,430
28,0.03,0.01,0.01,0.03,0.10327536130380185,430
29,0.03,0.01,0.01,0.05,0.11023663003085567,430
30,0.03,0.01,0.03,0.01,0.10576416472107086,430
31,0.03,0.01,0.03,0.03,0.1057055456620442,430
32,0.03,0.01,0.03,0.05,0.10882649268120555,430
33,0.03,0.01,0.05,0.01,0.12449681415684988,430
34,0.03,0.01,0.05,0.03,0.1288401323661542,430
35,0.03,0.01,0.05,0.05,0.13898354701302806,430
36,0.03,0.03,0.01,0.01,0.10604862352939123,430
37,0.03,0.03,0.01,0.03,0.10588406923548574,430
38,0.03,0.03,0.01,0.05,0.11595347140458453,430
39,0.03,0.03,0.03,0.01,0.10196093223116387,430
40,0.03,0.03,0.03,0.03,0.10391460916368933,430
41,0.03,0.03,0.03,0.05,0.11036770359514278,430
42,0.03,0.03,0.05,0.01,0.11383333189904332,430
43,0.03,0.03,0.05,0.03,0.11321004035789158,430
44,0.03,0.03,0.05,0.05,0.11908138294080013,430
45,0.03,0.05,0.01,0.01,0.1309328227996638,430
46,0.03,0.05,0.01,0.03,0.1150567755906285,430
47,0.03,0.05,0.01,0.05,0.12149751489200274,430
48,0.03,0.05,0.03,0.01,0.10350028092164527,430
49,0.03,0.05,0.03,0.03,0.10298955828366316,430
50,0.03,0.05,0.03,0.05,0.1104178683443324,430
51,0.03,0.05,0.05,0.01,0.10776404780186985,430
52,0.03,0.05,0.05,0.03,0.10696625164112043,430
53,0.03,0.05,0.05,0.05,0.11107022372517035,430
54,0.05,0.01,0.01,0.01,0.10687776627804664,430
55,0.05,0.01,0.01,0.03,0.10948035325283337,430
56,0.05,0.01,0.01,0.05,0.11346099276828647,430
57,0.05,0.01,0.03,0.01,0.11787887731942617,430
58,0.05,0.01,0.03,0.03,0.11851148233731872,430
59,0.05,0.01,0.03,0.05,0.11968323509127662,430
60,0.05,0.01,0.05,0.01,0.13825727542915245,430
61,0.05,0.01,0.05,0.03,0.1390543383690383,430
62,0.05,0.01,0.05,0.05,0.143034946544557,430
63,0.05,0.03,0.01,0.01,0.09139028329410245,430
64,0.05,0.03,0.01,0.03,0.0911536278682879,430
65,0.05,0.03,0.01,0.05,0.10076715887469423,430
66,0.05,0.03,0.03,0.01,0.0890191435800223,430
67,0.05,0.03,0.03,0.03,0.09315749581916796,430
68,0.05,0.03,0.03,0.05,0.09836158637915213,430
69,0.05,0.03,0.05,0.01,0.10602264702025613,430
70,0.05,0.03,0.05,0.03,0.10335389494549758,430
71,0.05,0.03,0.05,0.05,0.10679559862806158,430
72,0.05,0.05,0.01,0.01,0.11107159246903628,430
73,0.05,0.05,0.01,0.03,0.10381295257087723,430
74,0.05,0.05,0.01,0.05,0.11259435793307093,430
75,0.05,0.05,0.03,0.01,0.09361282404917301,430
76,0.05,0.05,0.03,0.03,0.1003917149301898,430
77,0.05,0.05,0.03,0.05,0.10635577405875,430
78,0.05,0.05,0.05,0.01,0.10268219868696386,430
79,0.05,0.05,0.05,0.03,0.10239645489007324,430
80,0.05,0.05,0.05,0.05,0.10340822810181938,430
