case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.7228919989360536,430
1,0.01,0.01,0.01,0.03,0.7119776780532098,430
2,0.01,0.01,0.01,0.05,0.7133153364945208,430
3,0.01,0.01,0.03,0.01,0.5661810785963283,430
4,0.01,0.01,0.03,0.03,0.5735345307108923,430
5,0.01,0.01,0.03,0.05,0.6024120631388523,430
6,0.01,0.01,0.05,0.01,0.39825226188954194,430
7,0.01,0.01,0.05,0.03,0.4059967624567755,430
8,0.01,0.01,0.05,0.05,0.45488884004066144,430
9,0.01,0.03,0.01,0.01,0.8710103027375139,430
10,0.01,0.03,0.01,0.03,0.8572569166099632,430
11,0.01,0.03,0.01,0.05,0.8402485554670175,430
12,0.01,0.03,0.03,0.01,0.7901780576551392,430
13,0.01,0.03,0.03,0.03,0.780770714052722,430
14,0.01,0.03,0.03,0.05,0.7751066098869067,430
15,0.01,0.03,0.05,0.01,0.6644217131594052,430
16,0.01,0.03,0.05,0.03,0.6602865393770772,430
17,0.01,0.03,0.05,0.05,0.6714667625173774,430
18,0.01,0.05,0.01,0.01,0.9317311719527396,430
19,0.01,0.05,0.01,0.03,0.9237266374408433,430
20,0.01,0.05,0.01,0.05,0.9086999552609681,430
21,0.01,0.05,0.03,0.01,0.8945835793083063,430
22,0.01,0.05,0.03,0.03,0.8882389271134363,430
23,0.01,0.05,0.03,0.05,0.875883238540095,430
24,0.01,0.05,0.05,0.01,0.825718521582542,430
25,0.01,0.05,0.05,0.03,0.822020044405469,430
26,0.01,0.05,0.05,0.05,0.816672297114085,430
27,0.03,0.01,0.01,0.01,0.7867491153444609,430
28,0.03,0.01,0.01,0.03,0.7966288226508034,430
29,0.03,0.01,0.01,0.05,0.8072894747140602,430
30,0.03,0.01,0.03,0.01,0.6825647358896516,430
31,0.03,0.01,0.03,0.03,0.7138964679032703,430
32,0.03,0.01,0.03,0.05,0.741958126523366,430
33,0.03,0.01,0.05,0.01,0.5564467318596442,430
34,0.03,0.01,0.05,0.03,0.6042556603814154,430
35,0.03,0.01,0.05,0.05,0.650130822280833,430
36,0.03,0.03,0.01,0.01,0.8942477427556987,430
37,0.03,0.03,0.01,0.03,0.8898681522349529,430
38,0.03,0.03,0.01,0.05,0.8851433072266627,430
39,0.03,0.03,0.03,0.01,0.8361607285151553,430
40,0.03,0.03,0.03,0.03,0.8396504292312935,430
41,0.03,0.03,0.03,0.05,0.844180876792338,430
42,0.03,0.03,0.05,0.01,0.7506541676600014,430
43,0.03,0.03,0.05,0.03,0.7651897534395314,430
44,0.03,0.03,0.05,0.05,0.7816397214407755,430
45,0.03,0.05,0.01,0.01,0.9475454534366733,430
46,0.03,0.05,0.01,0.03,0.9433919158497757,430
47,0.03,0.05,0.01,0.05,0.9357405889386025,430
48,0.03,0.05,0.03,0.01,0.9209105353276958,430
49,0.03,0.05,0.03,0.03,0.9190063596197724,430
50,0.03,0.05,0.03,0.05,0.9141880866984634,430
51,0.03,0.05,0.05,0.01,0.8730235856273003,430
52,0.03,0.05,0.05,0.03,0.8753104410296088,430
53,0.03,0.05,0.05,0.05,0.8763883440380953,430
54,0.05,0.01,0.01,0.01,0.8290511144915114,430
55,0.05,0.01,0.01,0.03,0.8400416449898158,430
56,0.05,0.01,0.01,0.05,0.849808059473269,430
57,0.05,0.01,0.03,0.01,0.7540401504594717,430
58,0.05,0.01,0.03,0.03,0.7820003601365483,430
59,0.05,0.01,0.03,0.05,0.8039074575129075,430
60,0.05,0.01,0.05,0.01,0.6544491700921837,430
61,0.05,0.01,0.05,0.03,0.7009400629718209,430
62,0.05,0.01,0.05,0.05,0.7372735651513214,430
63,0.05,0.03,0.01,0.01,0.9070123641645926,430
64,0.05,0.03,0.01,0.03,0.9051493017990149,430
65,0.05,0.03,0.01,0.05,0.9042913264103374,430
66,0.05,0.03,0.03,0.01,0.8630217051534418,430
67,0.05,0.03,0.03,0.03,0.8687406399787084,430
68,0.05,0.03,0.03,0.05,0.8748624441715991,430
69,0.05,0.03,0.05,0.01,0.8006883869969201,430
70,0.05,0.03,0.05,0.03,0.8164360267584752,430
71,0.05,0.03,0.05,0.05,0.8311847237966006,430
72,0.05,0.05,0.01,0.01,0.9546795138274182,430
73,0.05,0.05,0.01,0.03,0.9511863158215791,430
74,0.05,0.05,0.01,0.05,0.9460109452229493,430
75,0.05,0.05,0.03,0.01,0.9333387182616193,430
76,0.05,0.05,0.03,0.03,0.9319169241460925,430
77,0.05,0.05,0.03,0.05,0.9295081325946489,430
78,0.05,0.05,0.05,0.01,0.8967889061094226,430
79,0.05,0.05,0.05,0.03,0.8993620677371869,430
80,0.05,0.05,0.05,0.05,0.9018024712156762,430
