case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,3.629940371419721,430
1,0.01,0.01,0.01,0.03,3.629933259978478,430
2,0.01,0.01,0.01,0.05,3.629926862016285,430
3,0.01,0.01,0.03,0.01,3.627051960094893,430
4,0.01,0.01,0.03,0.03,3.6270275526234386,430
5,0.01,0.01,0.03,0.05,3.627009772029017,430
6,0.01,0.01,0.05,0.01,3.6243397639446244,430
7,0.01,0.01,0.05,0.03,3.6242978189748776,430
8,0.01,0.01,0.05,0.05,3.624268792185935,430
9,0.01,0.03,0.01,0.01,3.4966350048182635,430
10,0.01,0.03,0.01,0.03,3.496598585604584,430
11,0.01,0.03,0.01,0.05,3.4965703051991306,430
12,0.01,0.03,0.03,0.01,3.4867857510842173,430
13,0.01,0.03,0.03,0.03,3.4866805407313635,430
14,0.01,0.03,0.03,0.05,3.4866041962636514,430
15,0.01,0.03,0.05,0.01,3.4776477116263407,430
16,0.01,0.03,0.05,0.03,3.4774639675981063,430
17,0.01,0.03,0.05,0.05,3.4773327441343627,430
18,0.01,0.05,0.01,0.01,3.3873120551210554,430
19,0.01,0.05,0.01,0.03,3.387222044351657,430
20,0.01,0.05,0.01,0.05,3.3871535589920763,430
21,0.01,0.05,0.03,0.01,3.369289198591313,430
22,0.01,0.05,0.03,0.03,3.3689650906426016,430
23,0.01,0.05,0.03,0.05,3.3687192678202207,430
24,0.01,0.05,0.05,0.01,3.352653126216316,430
25,0.01,0.05,0.05,0.03,3.352125557202986,430
26,0.01,0.05,0.05,0.05,3.3516959754890108,430
27,0.03,0.01,0.01,0.01,2.582106471378714,430
28,0.03,0.01,0.01,0.03,2.5820846011920633,430
29,0.03,0.01,0.01,0.05,2.5820667518088953,430
30,0.03,0.01,0.03,0.01,2.5752314173369895,430
31,0.03,0.01,0.03,0.03,2.5751648155692166,430
32,0.03,0.01,0.03,0.05,2.5751173759948154,430
33,0.03,0.01,0.05,0.01,2.568801130177346,430
34,0.03,0.01,0.05,0.03,2.5686947753095417,430
35,0.03,0.01,0.05,0.05,2.5686370260985436,430
36,0.03,0.03,0.01,0.01,2.428168259127493,430
37,0.03,0.03,0.01,0.03,2.4280670361842924,430
38,0.03,0.03,0.01,0.05,2.4279901323669724,430
39,0.03,0.03,0.03,0.01,2.407745829522603,430
40,0.03,0.03,0.03,0.03,2.407447395315036,430
41,0.03,0.03,0.03,0.05,2.40724646144823,430
42,0.03,0.03,0.05,0.01,2.388688862012294,430
43,0.03,0.03,0.05,0.03,2.3882368230377216,430
44,0.03,0.03,0.05,0.05,2.3879890604014626,430
45,0.03,0.05,0.01,0.01,2.314718140337098,430
46,0.03,0.05,0.01,0.03,2.3144661039322703,430
47,0.03,0.05,0.01,0.05,2.314276561309146,430
48,0.03,0.05,0.03,0.01,2.2816975009281837,430
49,0.03,0.05,0.03,0.03,2.2811232565242436,430
50,0.03,0.05,0.03,0.05,2.2808136084603,430
51,0.03,0.05,0.05,0.01,2.2519136637548955,430
52,0.03,0.05,0.05,0.03,2.2518950011695424,430
53,0.03,0.05,0.05,0.05,2.252187062200628,430
54,0.05,0.01,0.01,0.01,2.074482274106835,430
55,0.05,0.01,0.01,0.03,2.0744334676664815,430
56,0.05,0.01,0.01,0.05,2.0743948682102924,430
57,0.05,0.01,0.03,0.01,2.0619522751671715,430
58,0.05,0.01,0.03,0.03,2.061811018374952,430
59,0.05,0.01,0.03,0.05,2.0617127970492093,430
60,0.05,0.01,0.05,0.01,2.050238014537881,430
61,0.05,0.01,0.05,0.03,2.050031152805362,430
62,0.05,0.01,0.05,0.05,2.0498684265461353,430
63,0.05,0.03,0.01,0.01,1.90786772122824,430
64,0.05,0.03,0.01,0.03,1.9076415985034756,430
65,0.05,0.03,0.01,0.05,1.9074792112183592,430
66,0.05,0.03,0.03,0.01,1.8753794061933735,430
67,0.05,0.03,0.03,0.03,1.8748656242076849,430
68,0.05,0.03,0.03,0.05,1.8745155594273808,430
69,0.05,0.03,0.05,0.01,1.846123736179404,430
70,0.05,0.03,0.05,0.03,1.8460280247594316,430
71,0.05,0.03,0.05,0.05,1.8462535842211534,430
72,0.05,0.05,0.01,0.01,1.7972676100524165,430
73,0.05,0.05,0.01,0.03,1.796780791873538,430
74,0.05,0.05,0.01,0.05,1.79642812956441,430
75,0.05,0.05,0.03,0.01,1.7503940356063545,430
76,0.05,0.05,0.03,0.03,1.7499631031071559,430
77,0.05,0.05,0.03,0.05,1.7499763511031137,430
78,0.05,0.05,0.05,0.01,1.7141531533852372,430
79,0.05,0.05,0.05,0.03,1.7172375808591789,430
80,0.05,0.05,0.05,0.05,1.720411949376123,430
