case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.9168732289514354,430
1,0.01,0.01,0.01,0.03,0.9253134719340654,430
2,0.01,0.01,0.01,0.05,0.92974764096884,430
3,0.01,0.01,0.03,0.01,0.8780279623796039,430
4,0.01,0.01,0.03,0.03,0.8932444383191136,430
5,0.01,0.01,0.03,0.05,0.9051483611408623,430
6,0.01,0.01,0.05,0.01,0.8261148849803777,430
7,0.01,0.01,0.05,0.03,0.844878272838983,430
8,0.01,0.01,0.05,0.05,0.8633191594874556,430
9,0.01,0.03,0.01,0.01,0.9567973311541168,430
10,0.01,0.03,0.01,0.03,0.9591469251061933,430
11,0.01,0.03,0.01,0.05,0.9573701697385401,430
12,0.01,0.03,0.03,0.01,0.939974208886156,430
13,0.01,0.03,0.03,0.03,0.9462683753427251,430
14,0.01,0.03,0.03,0.05,0.9485782625446703,430
15,0.01,0.03,0.05,0.01,0.9110611567653333,430
16,0.01,0.03,0.05,0.03,0.9212286748428309,430
17,0.01,0.03,0.05,0.05,0.9285552103486125,430
18,0.01,0.05,0.01,0.01,0.9714409765470167,430
19,0.01,0.05,0.01,0.03,0.9727170459952756,430
20,0.01,0.05,0.01,0.05,0.9697880480297615,430
21,0.01,0.05,0.03,0.01,0.9641587870910984,430
22,0.01,0.05,0.03,0.03,0.9675859672457735,430
23,0.01,0.05,0.03,0.05,0.9669839467020319,430
24,0.01,0.05,0.05,0.01,0.9492239372364862,430
25,0.01,0.05,0.05,0.03,0.9558253061562331,430
26,0.01,0.05,0.05,0.05,0.9585505000861871,430
27,0.03,0.01,0.01,0.01,0.9303485398730633,430
28,0.03,0.01,0.01,0.03,0.9400547560842764,430
29,0.03,0.01,0.01,0.05,0.9462398249111116,430
30,0.03,0.01,0.03,0.01,0.8994994321047356,430
31,0.03,0.01,0.03,0.03,0.9159876225637988,430
32,0.03,0.01,0.03,0.05,0.9278629981942915,430
33,0.03,0.01,0.05,0.01,0.8598005839993084,430
34,0.03,0.01,0.05,0.03,0.8817886766770939,430
35,0.03,0.01,0.05,0.05,0.8988759858803543,430
36,0.03,0.03,0.01,0.01,0.9647706099473232,430
37,0.03,0.03,0.01,0.03,0.9674433388059164,430
38,0.03,0.03,0.01,0.05,0.9679361552874717,430
39,0.03,0.03,0.03,0.01,0.949897705945817,430
40,0.03,0.03,0.03,0.03,0.9561535395596641,430
41,0.03,0.03,0.03,0.05,0.9599819173147921,430
42,0.03,0.03,0.05,0.01,0.9258942883258392,430
43,0.03,0.03,0.05,0.03,0.9360805963897361,430
44,0.03,0.03,0.05,0.05,0.9440043717300348,430
45,0.03,0.05,0.01,0.01,0.9804816543118221,430
46,0.03,0.05,0.01,0.03,0.9813750125816249,430
47,0.03,0.05,0.01,0.05,0.980059864872149,430
48,0.03,0.05,0.03,0.01,0.9742334348277517,430
49,0.03,0.05,0.03,0.03,0.9768646612520053,430
50,0.03,0.05,0.03,0.05,0.977257329850765,430
51,0.03,0.05,0.05,0.01,0.9619669433138277,430
52,0.03,0.05,0.05,0.03,0.9672498898033458,430
53,0.03,0.05,0.05,0.05,0.9701805829303094,430
54,0.05,0.01,0.01,0.01,0.9395951914151082,430
55,0.05,0.01,0.01,0.03,0.9473489247674822,430
56,0.05,0.01,0.01,0.05,0.9527523427301888,430
57,0.05,0.01,0.03,0.01,0.9157712801705564,430
58,0.05,0.01,0.03,0.03,0.9290680813546566,430
59,0.05,0.01,0.03,0.05,0.9386465163284801,430
60,0.05,0.01,0.05,0.01,0.8850849470734422,430
61,0.05,0.01,0.05,0.03,0.9034369178277044,430
62,0.05,0.01,0.05,0.05,0.9170281648885912,430
63,0.05,0.03,0.01,0.01,0.9667487437937664,430
64,0.05,0.03,0.01,0.03,0.9686006528754136,430
65,0.05,0.03,0.01,0.05,0.9697015060230596,430
66,0.05,0.03,0.03,0.01,0.9538185369000904,430
67,0.05,0.03,0.03,0.03,0.9588303003787318,430
68,0.05,0.03,0.03,0.05,0.962749333355011,430
69,0.05,0.03,0.05,0.01,0.9342657771439189,430
70,0.05,0.03,0.05,0.03,0.9426969365696509,430
71,0.05,0.03,0.05,0.05,0.9498028189262374,430
72,0.05,0.05,0.01,0.01,0.9829264873163777,430
73,0.05,0.05,0.01,0.03,0.9829745352874149,430
74,0.05,0.05,0.01,0.05,0.9818900541877476,430
75,0.05,0.05,0.03,0.01,0.9772620606351341,430
76,0.05,0.05,0.03,0.03,0.9789048042869692,430
77,0.05,0.05,0.03,0.05,0.9794519717928324,430
78,0.05,0.05,0.05,0.01,0.9668429801430687,430
79,0.05,0.05,0.05,0.03,0.9706993229821137,430
80,0.05,0.05,0.05,0.05,0.9734167269421375,430
