case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.06735961935752965,430
1,0.01,0.01,0.01,0.03,0.069626717964644,430
2,0.01,0.01,0.01,0.05,0.07237800601623273,430
3,0.01,0.01,0.03,0.01,0.06795146410604665,430
4,0.01,0.01,0.03,0.03,0.0705529480202525,430
5,0.01,0.01,0.03,0.05,0.07820916214327647,430
6,0.01,0.01,0.05,0.01,0.06619376508006357,430
7,0.01,0.01,0.05,0.03,0.06634670114476773,430
8,0.01,0.01,0.05,0.05,0.0704854327298707,430
9,0.01,0.03,0.01,0.01,0.08806864267631602,430
10,0.01,0.03,0.01,0.03,0.06822280961602172,430
11,0.01,0.03,0.01,0.05,0.0524437357179088,430
12,0.01,0.03,0.03,0.01,0.06152378427935982,430
13,0.01,0.03,0.03,0.03,0.04766285520059236,430
14,0.01,0.03,0.03,0.05,0.04348341368978187,430
15,0.01,0.03,0.05,0.01,0.04544303056121378,430
16,0.01,0.03,0.05,0.03,0.047405457757762996,430
17,0.01,0.03,0.05,0.05,0.04801685358146507,430
18,0.01,0.05,0.01,0.01,0.16059689312487166,430
19,0.01,0.05,0.01,0.03,0.12485781288000204,430
20,0.01,0.05,0.01,0.05,0.09447901116576056,430
21,0.01,0.05,0.03,0.01,0.1183847972555562,430
22,0.01,0.05,0.03,0.03,0.08911779231168185,430
23,0.01,0.05,0.03,0.05,0.07074953267084458,430
24,0.01,0.05,0.05,0.01,0.07997478011144712,430
25,0.01,0.05,0.05,0.03,0.06369681450082869,430
26,0.01,0.05,0.05,0.05,0.06216262398511931,430
27,0.03,0.01,0.01,0.01,0.034002710091608004,430
28,0.03,0.01,0.01,0.03,0.03583265601357199,430
29,0.03,0.01,0.01,0.05,0.042223152768741515,430
30,0.03,0.01,0.03,0.01,0.04076261941483624,430
31,0.03,0.01,0.03,0.03,0.044977085647756584,430
32,0.03,0.01,0.03,0.05,0.05329926529347075,430
33,0.03,0.01,0.05,0.01,0.062307081914396246,430
34,0.03,0.01,0.05,0.03,0.06524623658950506,430
35,0.03,0.01,0.05,0.05,0.0721835901462958,430
36,0.03,0.03,0.01,0.01,0.04891667424605392,430
37,0.03,0.03,0.01,0.03,0.04628950646789297,430
38,0.03,0.03,0.01,0.05,0.047014244384665435,430
39,0.03,0.03,0.03,0.01,0.03361900217818661,430
40,0.03,0.03,0.03,0.03,0.03236856212515499,430
41,0.03,0.03,0.03,0.05,0.03659850433670047,430
42,0.03,0.03,0.05,0.01,0.042078724407780016,430
43,0.03,0.03,0.05,0.03,0.03825528345772585,430
44,0.03,0.03,0.05,0.05,0.041484202465886355,430
45,0.03,0.05,0.01,0.01,0.11194344109821683,430
46,0.03,0.05,0.01,0.03,0.09936029283375594,430
47,0.03,0.05,0.01,0.05,0.0916857043954363,430
48,0.03,0.05,0.03,0.01,0.08187553796206093,430
49,0.03,0.05,0.03,0.03,0.06932969277634407,430
50,0.03,0.05,0.03,0.05,0.0652573355940286,430
51,0.03,0.05,0.05,0.01,0.07510813420507055,430
52,0.03,0.05,0.05,0.03,0.05989711046989854,430
53,0.03,0.05,0.05,0.05,0.05542513637756088,430
54,0.05,0.01,0.01,0.01,0.04222457778476814,430
55,0.05,0.01,0.01,0.03,0.04063709311053506,430
56,0.05,0.01,0.01,0.05,0.04018061967422793,430
57,0.05,0.01,0.03,0.01,0.04353251299856644,430
58,0.05,0.01,0.03,0.03,0.04561608460499051,430
59,0.05,0.01,0.03,0.05,0.04974872809464449,430
60,0.05,0.01,0.05,0.01,0.08704288231047667,430
61,0.05,0.01,0.05,0.03,0.0851445472906164,430
62,0.05,0.01,0.05,0.05,0.08677834206908042,430
63,0.05,0.03,0.01,0.01,0.05304300412586267,430
64,0.05,0.03,0.01,0.03,0.05163250502659996,430
65,0.05,0.03,0.01,0.05,0.05205543363961521,430
66,0.05,0.03,0.03,0.01,0.04556930737203431,430
67,0.05,0.03,0.03,0.03,0.042611206304421445,430
68,0.05,0.03,0.03,0.05,0.04404610126349434,430
69,0.05,0.03,0.05,0.01,0.0689958645443802,430
70,0.05,0.03,0.05,0.03,0.06148573691115421,430
71,0.05,0.03,0.05,0.05,0.06004281354866161,430
72,0.05,0.05,0.01,0.01,0.08097848792849752,430
73,0.05,0.05,0.01,0.03,0.07720321300588522,430
74,0.05,0.05,0.01,0.05,0.07716697236260553,430
75,0.05,0.05,0.03,0.01,0.06560203619446273,430
76,0.05,0.05,0.03,0.03,0.05935198703680415,430
77,0.05,0.05,0.03,0.05,0.05970997391116335,430
78,0.05,0.05,0.05,0.01,0.07792269672011697,430
79,0.05,0.05,0.05,0.03,0.06731878517924395,430
80,0.05,0.05,0.05,0.05,0.0659804909424955,430
