case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.0322723879975647,430
1,0.01,0.01,0.01,0.03,0.03313832138767533,430
2,0.01,0.01,0.01,0.05,0.034212774809503806,430
3,0.01,0.01,0.03,0.01,0.03443360097666838,430
4,0.01,0.01,0.03,0.03,0.03373627690378263,430
5,0.01,0.01,0.03,0.05,0.03311531230444982,430
6,0.01,0.01,0.05,0.01,0.04030655498585055,430
7,0.01,0.01,0.05,0.03,0.03914201069173314,430
8,0.01,0.01,0.05,0.05,0.03792169525544863,430
9,0.01,0.03,0.01,0.01,0.01920446362170309,430
10,0.01,0.03,0.01,0.03,0.018913806043305288,430
11,0.01,0.03,0.01,0.05,0.01868776267106422,430
12,0.01,0.03,0.03,0.01,0.019667069867552667,430
13,0.01,0.03,0.03,0.03,0.018942269935567115,430
14,0.01,0.03,0.03,0.05,0.018451557747375825,430
15,0.01,0.03,0.05,0.01,0.025788652118615318,430
16,0.01,0.03,0.05,0.03,0.025791598039020463,430
17,0.01,0.03,0.05,0.05,0.02582055283272499,430
18,0.01,0.05,0.01,0.01,0.049138074683220956,430
19,0.01,0.05,0.01,0.03,0.04829997872917799,430
20,0.01,0.05,0.01,0.05,0.047465222024361445,430
21,0.01,0.05,0.03,0.01,0.04719005527433923,430
22,0.01,0.05,0.03,0.03,0.04653657560263401,430
23,0.01,0.05,0.03,0.05,0.04602788307324325,430
24,0.01,0.05,0.05,0.01,0.04599820019319859,430
25,0.01,0.05,0.05,0.03,0.046484318802264134,430
26,0.01,0.05,0.05,0.05,0.047167794477222295,430
27,0.03,0.01,0.01,0.01,0.024023125101171338,430
28,0.03,0.01,0.01,0.03,0.0243919083459343,430
29,0.03,0.01,0.01,0.05,0.02472703538489879,430
30,0.03,0.01,0.03,0.01,0.0223376900929304,430
31,0.03,0.01,0.03,0.03,0.02270108757502973,430
32,0.03,0.01,0.03,0.05,0.023106210004450695,430
33,0.03,0.01,0.05,0.01,0.02271513380790888,430
34,0.03,0.01,0.05,0.03,0.023289665521422868,430
35,0.03,0.01,0.05,0.05,0.023854603795253025,430
36,0.03,0.03,0.01,0.01,0.0231660790736981,430
37,0.03,0.03,0.01,0.03,0.02336129035027416,430
38,0.03,0.03,0.01,0.05,0.023623013407183657,430
39,0.03,0.03,0.03,0.01,0.016690422030092175,430
40,0.03,0.03,0.03,0.03,0.01595850377715407,430
41,0.03,0.03,0.03,0.05,0.01612002819491173,430
42,0.03,0.03,0.05,0.01,0.02067319539892989,430
43,0.03,0.03,0.05,0.03,0.02206074784022503,430
44,0.03,0.03,0.05,0.05,0.02376798058855345,430
45,0.03,0.05,0.01,0.01,0.025409173216453102,430
46,0.03,0.05,0.01,0.03,0.024730928891138076,430
47,0.03,0.05,0.01,0.05,0.02414065343239067,430
48,0.03,0.05,0.03,0.01,0.023697531922153764,430
49,0.03,0.05,0.03,0.03,0.0223405995292686,430
50,0.03,0.05,0.03,0.05,0.022139279359599355,430
51,0.03,0.05,0.05,0.01,0.026500219747922625,430
52,0.03,0.05,0.05,0.03,0.028104167322213762,430
53,0.03,0.05,0.05,0.05,0.03058714614550691,430
54,0.05,0.01,0.01,0.01,0.021600111435181892,430
55,0.05,0.01,0.01,0.03,0.022670858015734922,430
56,0.05,0.01,0.01,0.05,0.024601562685866697,430
57,0.05,0.01,0.03,0.01,0.022759525656282427,430
58,0.05,0.01,0.03,0.03,0.023147715238861895,430
59,0.05,0.01,0.03,0.05,0.024245163712848246,430
60,0.05,0.01,0.05,0.01,0.02137631380663792,430
61,0.05,0.01,0.05,0.03,0.022113012228666528,430
62,0.05,0.01,0.05,0.05,0.023361236285323723,430
63,0.05,0.03,0.01,0.01,0.018057170694918034,430
64,0.05,0.03,0.01,0.03,0.01766978318251912,430
65,0.05,0.03,0.01,0.05,0.017563508638336407,430
66,0.05,0.03,0.03,0.01,0.017353448198124406,430
67,0.05,0.03,0.03,0.03,0.015868683152946213,430
68,0.05,0.03,0.03,0.05,0.01594187217444954,430
69,0.05,0.03,0.05,0.01,0.018519390381396467,430
70,0.05,0.03,0.05,0.03,0.01954146532751954,430
71,0.05,0.03,0.05,0.05,0.022248835547598544,430
72,0.05,0.05,0.01,0.01,0.022209845629422513,430
73,0.05,0.05,0.01,0.03,0.020604800155351523,430
74,0.05,0.05,0.01,0.05,0.019436778282321578,430
75,0.05,0.05,0.03,0.01,0.023061498622323744,430
76,0.05,0.05,0.03,0.03,0.018843730324462044,430
77,0.05,0.05,0.03,0.05,0.017309204647461773,430
78,0.05,0.05,0.05,0.01,0.023050701068311325,430
79,0.05,0.05,0.05,0.03,0.01933671840753868,430
80,0.05,0.05,0.05,0.05,0.022297481525221496,430
