case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.031919037433781786,430
1,0.01,0.01,0.01,0.03,0.03526352101164526,430
2,0.01,0.01,0.01,0.05,0.038450873753366026,430
3,0.01,0.01,0.03,0.01,0.03148445637740317,430
4,0.01,0.01,0.03,0.03,0.034214733964371045,430
5,0.01,0.01,0.03,0.05,0.036913596656628134,430
6,0.01,0.01,0.05,0.01,0.02320485252141504,430
7,0.01,0.01,0.05,0.03,0.02548844371402314,430
8,0.01,0.01,0.05,0.05,0.027961987498687235,430
9,0.01,0.03,0.01,0.01,0.028730013209474364,430
10,0.01,0.03,0.01,0.03,0.03090284560035305,430
11,0.01,0.03,0.01,0.05,0.032859236680249995,430
12,0.01,0.03,0.03,0.01,0.029835029047747753,430
13,0.01,0.03,0.03,0.03,0.03128424853668374,430
14,0.01,0.03,0.03,0.05,0.03278055616271279,430
15,0.01,0.03,0.05,0.01,0.023683598242315307,430
16,0.01,0.03,0.05,0.03,0.02396893849899408,430
17,0.01,0.03,0.05,0.05,0.02554683961513099,430
18,0.01,0.05,0.01,0.01,0.025573165415339418,430
19,0.01,0.05,0.01,0.03,0.024955680831608762,430
20,0.01,0.05,0.01,0.05,0.024505488942053854,430
21,0.01,0.05,0.03,0.01,0.03247012062745945,430
22,0.01,0.05,0.03,0.03,0.031023245452740156,430
23,0.01,0.05,0.03,0.05,0.02985504101800812,430
24,0.01,0.05,0.05,0.01,0.030988288959648523,430
25,0.01,0.05,0.05,0.03,0.029464888282568758,430
26,0.01,0.05,0.05,0.05,0.029388201517331587,430
27,0.03,0.01,0.01,0.01,0.014092922346608878,430
28,0.03,0.01,0.01,0.03,0.016778225122733928,430
29,0.03,0.01,0.01,0.05,0.01951927396321724,430
30,0.03,0.01,0.03,0.01,0.013723209284200519,430
31,0.03,0.01,0.03,0.03,0.01533981156846482,430
32,0.03,0.01,0.03,0.05,0.0172332013503531,430
33,0.03,0.01,0.05,0.01,0.011539958961812178,430
34,0.03,0.01,0.05,0.03,0.011123242261294693,430
35,0.03,0.01,0.05,0.05,0.011701946550000992,430
36,0.03,0.03,0.01,0.01,0.011476698258223733,430
37,0.03,0.03,0.01,0.03,0.014245402380380292,430
38,0.03,0.03,0.01,0.05,0.01733175361526017,430
39,0.03,0.03,0.03,0.01,0.012373730643713722,430
40,0.03,0.03,0.03,0.03,0.012951884006038208,430
41,0.03,0.03,0.03,0.05,0.01511473154505071,430
42,0.03,0.03,0.05,0.01,0.014558346193917604,430
43,0.03,0.03,0.05,0.03,0.012976366270451617,430
44,0.03,0.03,0.05,0.05,0.013104390560010601,430
45,0.03,0.05,0.01,0.01,0.010961818825300179,430
46,0.03,0.05,0.01,0.03,0.012138222377991057,430
47,0.03,0.05,0.01,0.05,0.013949704425671852,430
48,0.03,0.05,0.03,0.01,0.014050941252658706,430
49,0.03,0.05,0.03,0.03,0.014693787020192303,430
50,0.03,0.05,0.03,0.05,0.016294108650768455,430
51,0.03,0.05,0.05,0.01,0.015022513516844213,430
52,0.03,0.05,0.05,0.03,0.013436833945396808,430
53,0.03,0.05,0.05,0.05,0.016248769883995536,430
54,0.05,0.01,0.01,0.01,0.010283470900698638,430
55,0.05,0.01,0.01,0.03,0.01120985456249637,430
56,0.05,0.01,0.01,0.05,0.012290704967827666,430
57,0.05,0.01,0.03,0.01,0.009461781629581573,430
58,0.05,0.01,0.03,0.03,0.009701381526128169,430
59,0.05,0.01,0.03,0.05,0.010031483611825574,430
60,0.05,0.01,0.05,0.01,0.010021772598768203,430
61,0.05,0.01,0.05,0.03,0.009593884261421798,430
62,0.05,0.01,0.05,0.05,0.009548096450421175,430
63,0.05,0.03,0.01,0.01,0.00816309316570264,430
64,0.05,0.03,0.01,0.03,0.009301197699253385,430
65,0.05,0.03,0.01,0.05,0.011169886462470344,430
66,0.05,0.03,0.03,0.01,0.008288160156535674,430
67,0.05,0.03,0.03,0.03,0.00802464426603468,430
68,0.05,0.03,0.03,0.05,0.008266519163829481,430
69,0.05,0.03,0.05,0.01,0.010665819152760457,430
70,0.05,0.03,0.05,0.03,0.008750861941404047,430
71,0.05,0.03,0.05,0.05,0.009719351898496232,430
72,0.05,0.05,0.01,0.01,0.010499185955221802,430
73,0.05,0.05,0.01,0.03,0.010516385656600163,430
74,0.05,0.05,0.01,0.05,0.011554290441057527,430
75,0.05,0.05,0.03,0.01,0.01014835525798317,430
76,0.05,0.05,0.03,0.03,0.009025604720480659,430
77,0.05,0.05,0.03,0.05,0.010180853995974204,430
78,0.05,0.05,0.05,0.01,0.015345139475946287,430
79,0.05,0.05,0.05,0.03,0.010150153182938026,430
80,0.05,0.05,0.05,0.05,0.011260478464878685,430
