case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.09690787565975259,430
1,0.01,0.01,0.01,0.03,0.10430889988633008,430
2,0.01,0.01,0.01,0.05,0.11078668370362488,430
3,0.01,0.01,0.03,0.01,0.08781773143860208,430
4,0.01,0.01,0.03,0.03,0.094158622353681,430
5,0.01,0.01,0.03,0.05,0.10231800106341231,430
6,0.01,0.01,0.05,0.01,0.10897248840379939,430
7,0.01,0.01,0.05,0.03,0.10618157348932537,430
8,0.01,0.01,0.05,0.05,0.11002033565074165,430
9,0.01,0.03,0.01,0.01,0.14384321329154295,430
10,0.01,0.03,0.01,0.03,0.11882839115214876,430
11,0.01,0.03,0.01,0.05,0.10164389239411642,430
12,0.01,0.03,0.03,0.01,0.1433923571256426,430
13,0.01,0.03,0.03,0.03,0.11603002652383657,430
14,0.01,0.03,0.03,0.05,0.10018262872130387,430
15,0.01,0.03,0.05,0.01,0.14315450456275097,430
16,0.01,0.03,0.05,0.03,0.12215075454410185,430
17,0.01,0.03,0.05,0.05,0.11562703332833998,430
18,0.01,0.05,0.01,0.01,0.17278485348843176,430
19,0.01,0.05,0.01,0.03,0.14389547988335988,430
20,0.01,0.05,0.01,0.05,0.12206159679667242,430
21,0.01,0.05,0.03,0.01,0.14873530688527592,430
22,0.01,0.05,0.03,0.03,0.12165356762652461,430
23,0.01,0.05,0.03,0.05,0.1043020008078142,430
24,0.01,0.05,0.05,0.01,0.13810721342205026,430
25,0.01,0.05,0.05,0.03,0.12344523494504447,430
26,0.01,0.05,0.05,0.05,0.1230051329952627,430
27,0.03,0.01,0.01,0.01,0.07219103181437975,430
28,0.03,0.01,0.01,0.03,0.06133166284681032,430
29,0.03,0.01,0.01,0.05,0.06261790985762189,430
30,0.03,0.01,0.03,0.01,0.058722531952223975,430
31,0.03,0.01,0.03,0.03,0.06469692179192402,430
32,0.03,0.01,0.03,0.05,0.064901493330461,430
33,0.03,0.01,0.05,0.01,0.09053116070068898,430
34,0.03,0.01,0.05,0.03,0.08653285817646765,430
35,0.03,0.01,0.05,0.05,0.0785535625612088,430
36,0.03,0.03,0.01,0.01,0.07427796688267072,430
37,0.03,0.03,0.01,0.03,0.0756723469648795,430
38,0.03,0.03,0.01,0.05,0.07387119507078994,430
39,0.03,0.03,0.03,0.01,0.07989538503045146,430
40,0.03,0.03,0.03,0.03,0.0734087212644074,430
41,0.03,0.03,0.03,0.05,0.06466697196553187,430
42,0.03,0.03,0.05,0.01,0.09011680907263779,430
43,0.03,0.03,0.05,0.03,0.07830936972472016,430
44,0.03,0.03,0.05,0.05,0.0688424150726788,430
45,0.03,0.05,0.01,0.01,0.12661710919089236,430
46,0.03,0.05,0.01,0.03,0.11740415223871914,430
47,0.03,0.05,0.01,0.05,0.10887790689638273,430
48,0.03,0.05,0.03,0.01,0.10607593251366695,430
49,0.03,0.05,0.03,0.03,0.0928670026510845,430
50,0.03,0.05,0.03,0.05,0.08063643080468165,430
51,0.03,0.05,0.05,0.01,0.09573260902824901,430
52,0.03,0.05,0.05,0.03,0.08176547046122089,430
53,0.03,0.05,0.05,0.05,0.07230511174182706,430
54,0.05,0.01,0.01,0.01,0.07818936436758236,430
55,0.05,0.01,0.01,0.03,0.06375488583052093,430
56,0.05,0.01,0.01,0.05,0.059947270566690004,430
57,0.05,0.01,0.03,0.01,0.05798707795208363,430
58,0.05,0.01,0.03,0.03,0.05731653962953444,430
59,0.05,0.01,0.03,0.05,0.057891537318401895,430
60,0.05,0.01,0.05,0.01,0.07460973978151109,430
61,0.05,0.01,0.05,0.03,0.07427255807949516,430
62,0.05,0.01,0.05,0.05,0.07452849555724174,430
63,0.05,0.03,0.01,0.01,0.07465594644969756,430
64,0.05,0.03,0.01,0.03,0.07556697585883942,430
65,0.05,0.03,0.01,0.05,0.07428172334199021,430
66,0.05,0.03,0.03,0.01,0.06626077156906464,430
67,0.05,0.03,0.03,0.03,0.06159434356873513,430
68,0.05,0.03,0.03,0.05,0.05646332206937029,430
69,0.05,0.03,0.05,0.01,0.06844100320306043,430
70,0.05,0.03,0.05,0.03,0.061999993281112865,430
71,0.05,0.03,0.05,0.05,0.05976068068082776,430
72,0.05,0.05,0.01,0.01,0.13047262095474238,430
73,0.05,0.05,0.01,0.03,0.12588324129436249,430
74,0.05,0.05,0.01,0.05,0.11962518085073501,430
75,0.05,0.05,0.03,0.01,0.10605664804026511,430
76,0.05,0.05,0.03,0.03,0.09579046574924031,430
77,0.05,0.05,0.03,0.05,0.08578074147719841,430
78,0.05,0.05,0.05,0.01,0.09990868714593562,430
79,0.05,0.05,0.05,0.03,0.08995501414516531,430
80,0.05,0.05,0.05,0.05,0.08284885291823826,430
