case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.08395126593990457,430
1,0.01,0.01,0.01,0.03,0.1182170432878149,430
2,0.01,0.01,0.01,0.05,0.1327946929977198,430
3,0.01,0.01,0.03,0.01,0.08661231140001843,430
4,0.01,0.01,0.03,0.03,0.11484986855609274,430
5,0.01,0.01,0.03,0.05,0.13239143439501763,430
6,0.01,0.01,0.05,0.01,0.08912882979999681,430
7,0.01,0.01,0.05,0.03,0.09584563651788659,430
8,0.01,0.01,0.05,0.05,0.10476279501024854,430
9,0.01,0.03,0.01,0.01,0.10735078319561461,430
10,0.01,0.03,0.01,0.03,0.12103810000543,430
11,0.01,0.03,0.01,0.05,0.12251632407093875,430
12,0.01,0.03,0.03,0.01,0.1089673784226678,430
13,0.01,0.03,0.03,0.03,0.1272132354536243,430
14,0.01,0.03,0.03,0.05,0.13664462641794628,430
15,0.01,0.03,0.05,0.01,0.09834961764365442,430
16,0.01,0.03,0.05,0.03,0.11221690885262806,430
17,0.01,0.03,0.05,0.05,0.12077351797252216,430
18,0.01,0.05,0.01,0.01,0.1605784161339286,430
19,0.01,0.05,0.01,0.03,0.15586792898135857,430
20,0.01,0.05,0.01,0.05,0.14552506875977472,430
21,0.01,0.05,0.03,0.01,0.1570164900526664,430
22,0.01,0.05,0.03,0.03,0.1559642501134499,430
23,0.01,0.05,0.03,0.05,0.15348352217457428,430
24,0.01,0.05,0.05,0.01,0.15429358913436372,430
25,0.01,0.05,0.05,0.03,0.15165926958911186,430
26,0.01,0.05,0.05,0.05,0.15077485266794924,430
27,0.03,0.01,0.01,0.01,0.05217359237781889,430
28,0.03,0.01,0.01,0.03,0.062287676349961976,430
29,0.03,0.01,0.01,0.05,0.06612159920200292,430
30,0.03,0.01,0.03,0.01,0.06053842073620376,430
31,0.03,0.01,0.03,0.03,0.06657968425173062,430
32,0.03,0.01,0.03,0.05,0.06742964968950656,430
33,0.03,0.01,0.05,0.01,0.0784862601547902,430
34,0.03,0.01,0.05,0.03,0.08101620995480768,430
35,0.03,0.01,0.05,0.05,0.07889960776452815,430
36,0.03,0.03,0.01,0.01,0.06865009879858894,430
37,0.03,0.03,0.01,0.03,0.07074729924046211,430
38,0.03,0.03,0.01,0.05,0.06643292875079754,430
39,0.03,0.03,0.03,0.01,0.05496382466136007,430
40,0.03,0.03,0.03,0.03,0.05355681350034015,430
41,0.03,0.03,0.03,0.05,0.05043193230991381,430
42,0.03,0.03,0.05,0.01,0.06622370154984915,430
43,0.03,0.03,0.05,0.03,0.05854881716792683,430
44,0.03,0.03,0.05,0.05,0.05244093441388471,430
45,0.03,0.05,0.01,0.01,0.10591916077895211,430
46,0.03,0.05,0.01,0.03,0.10097194239151328,430
47,0.03,0.05,0.01,0.05,0.09224841395302856,430
48,0.03,0.05,0.03,0.01,0.0857918919531937,430
49,0.03,0.05,0.03,0.03,0.07453111019781965,430
50,0.03,0.05,0.03,0.05,0.0648475857616908,430
51,0.03,0.05,0.05,0.01,0.10016218858951827,430
52,0.03,0.05,0.05,0.03,0.08387262023677702,430
53,0.03,0.05,0.05,0.05,0.07278140472540683,430
54,0.05,0.01,0.01,0.01,0.05499920852601849,430
55,0.05,0.01,0.01,0.03,0.05594905585626555,430
56,0.05,0.01,0.01,0.05,0.05621070890908893,430
57,0.05,0.01,0.03,0.01,0.0629497459613338,430
58,0.05,0.01,0.03,0.03,0.06129192137147745,430
59,0.05,0.01,0.03,0.05,0.05868571646404749,430
60,0.05,0.01,0.05,0.01,0.08200478619532382,430
61,0.05,0.01,0.05,0.03,0.07519779559741309,430
62,0.05,0.01,0.05,0.05,0.07010618356573886,430
63,0.05,0.03,0.01,0.01,0.0893278394902647,430
64,0.05,0.03,0.01,0.03,0.08399498555602206,430
65,0.05,0.03,0.01,0.05,0.07863970487377972,430
66,0.05,0.03,0.03,0.01,0.06873410055811305,430
67,0.05,0.03,0.03,0.03,0.05609917976526428,430
68,0.05,0.03,0.03,0.05,0.049015319427485986,430
69,0.05,0.03,0.05,0.01,0.08733650174320401,430
70,0.05,0.03,0.05,0.03,0.06832529695859871,430
71,0.05,0.03,0.05,0.05,0.05565036397326347,430
72,0.05,0.05,0.01,0.01,0.11553489957546773,430
73,0.05,0.05,0.01,0.03,0.10586675947003585,430
74,0.05,0.05,0.01,0.05,0.0955616884166683,430
75,0.05,0.05,0.03,0.01,0.08925935915709585,430
76,0.05,0.05,0.03,0.03,0.07065808317955355,430
77,0.05,0.05,0.03,0.05,0.05668860031233699,430
78,0.05,0.05,0.05,0.01,0.09872446274332758,430
79,0.05,0.05,0.05,0.03,0.07538626785997429,430
80,0.05,0.05,0.05,0.05,0.06072883022969966,430
