case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.07307408032982347,430
1,0.01,0.01,0.01,0.03,0.07856225071946864,430
2,0.01,0.01,0.01,0.05,0.08661414582553677,430
3,0.01,0.01,0.03,0.01,0.06519659093609306,430
4,0.01,0.01,0.03,0.03,0.0645589826894628,430
5,0.01,0.01,0.03,0.05,0.0678173672777107,430
6,0.01,0.01,0.05,0.01,0.06308529000116915,430
7,0.01,0.01,0.05,0.03,0.06166849786772925,430
8,0.01,0.01,0.05,0.05,0.06235952914391405,430
9,0.01,0.03,0.01,0.01,0.06806500185993106,430
10,0.01,0.03,0.01,0.03,0.07667000850955494,430
11,0.01,0.03,0.01,0.05,0.08666140236616805,430
12,0.01,0.03,0.03,0.01,0.049793582880512596,430
13,0.01,0.03,0.03,0.03,0.05074514483924878,430
14,0.01,0.03,0.03,0.05,0.05483561640027064,430
15,0.01,0.03,0.05,0.01,0.04570515337616042,430
16,0.01,0.03,0.05,0.03,0.04494025925071477,430
17,0.01,0.03,0.05,0.05,0.045052578440218705,430
18,0.01,0.05,0.01,0.01,0.10376499766386323,430
19,0.01,0.05,0.01,0.03,0.11577249758095073,430
20,0.01,0.05,0.01,0.05,0.12747233616149922,430
21,0.01,0.05,0.03,0.01,0.07067967789547432,430
22,0.01,0.05,0.03,0.03,0.07584742195900251,430
23,0.01,0.05,0.03,0.05,0.08153868433085529,430
24,0.01,0.05,0.05,0.01,0.052595140397758276,430
25,0.01,0.05,0.05,0.03,0.05071188506236264,430
26,0.01,0.05,0.05,0.05,0.04898655005256531,430
27,0.03,0.01,0.01,0.01,0.0522297419861006,430
28,0.03,0.01,0.01,0.03,0.05869343806275871,430
29,0.03,0.01,0.01,0.05,0.0644298703644258,430
30,0.03,0.01,0.03,0.01,0.049154997170722234,430
31,0.03,0.01,0.03,0.03,0.05002110945612871,430
32,0.03,0.01,0.03,0.05,0.050793855357008776,430
33,0.03,0.01,0.05,0.01,0.061106594435525255,430
34,0.03,0.01,0.05,0.03,0.05868937370359177,430
35,0.03,0.01,0.05,0.05,0.05714456739006746,430
36,0.03,0.03,0.01,0.01,0.04220774064530752,430
37,0.03,0.03,0.01,0.03,0.04931177874959849,430
38,0.03,0.03,0.01,0.05,0.056224448319117805,430
39,0.03,0.03,0.03,0.01,0.03247101537573367,430
40,0.03,0.03,0.03,0.03,0.03368974586068439,430
41,0.03,0.03,0.03,0.05,0.03519603006764788,430
42,0.03,0.03,0.05,0.01,0.03791136156262751,430
43,0.03,0.03,0.05,0.03,0.035437974775681905,430
44,0.03,0.03,0.05,0.05,0.035023466410725006,430
45,0.03,0.05,0.01,0.01,0.07776785865818389,430
46,0.03,0.05,0.01,0.03,0.09033552767475761,430
47,0.03,0.05,0.01,0.05,0.10173361462344319,430
48,0.03,0.05,0.03,0.01,0.06653648768901085,430
49,0.03,0.05,0.03,0.03,0.07092545894722842,430
50,0.03,0.05,0.03,0.05,0.07414449244029171,430
51,0.03,0.05,0.05,0.01,0.07263151413043645,430
52,0.03,0.05,0.05,0.03,0.07019641190260949,430
53,0.03,0.05,0.05,0.05,0.06611868064622564,430
54,0.05,0.01,0.01,0.01,0.04988476970081101,430
55,0.05,0.01,0.01,0.03,0.05289447595319149,430
56,0.05,0.01,0.01,0.05,0.055807442747440296,430
57,0.05,0.01,0.03,0.01,0.05116408495355346,430
58,0.05,0.01,0.03,0.03,0.05134478916502746,430
59,0.05,0.01,0.03,0.05,0.052546338902078285,430
60,0.05,0.01,0.05,0.01,0.06967384343416502,430
61,0.05,0.01,0.05,0.03,0.06758668221641714,430
62,0.05,0.01,0.05,0.05,0.06914072071600931,430
63,0.05,0.03,0.01,0.01,0.058510882567400925,430
64,0.05,0.03,0.01,0.03,0.05925351309845399,430
65,0.05,0.03,0.01,0.05,0.05891946181631066,430
66,0.05,0.03,0.03,0.01,0.04597339763642153,430
67,0.05,0.03,0.03,0.03,0.040728970331470646,430
68,0.05,0.03,0.03,0.05,0.036605860519515136,430
69,0.05,0.03,0.05,0.01,0.049808726412904736,430
70,0.05,0.03,0.05,0.03,0.03981940986401624,430
71,0.05,0.03,0.05,0.05,0.03654825859411849,430
72,0.05,0.05,0.01,0.01,0.07314574081455964,430
73,0.05,0.05,0.01,0.03,0.07711453934051657,430
74,0.05,0.05,0.01,0.05,0.07969659129185765,430
75,0.05,0.05,0.03,0.01,0.06591239550678603,430
76,0.05,0.05,0.03,0.03,0.06328998118484125,430
77,0.05,0.05,0.03,0.05,0.05958599487634695,430
78,0.05,0.05,0.05,0.01,0.07613939688420049,430
79,0.05,0.05,0.05,0.03,0.06775693039459206,430
80,0.05,0.05,0.05,0.05,0.057723934171193814,430
