case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.03530874609595202,430
1,0.01,0.01,0.01,0.03,0.03270094873443386,430
2,0.01,0.01,0.01,0.05,0.03122550662863787,430
3,0.01,0.01,0.03,0.01,0.03248251657084842,430
4,0.01,0.01,0.03,0.03,0.031757965420192345,430
5,0.01,0.01,0.03,0.05,0.03256881700821078,430
6,0.01,0.01,0.05,0.01,0.032673368320400444,430
7,0.01,0.01,0.05,0.03,0.03533085421110118,430
8,0.01,0.01,0.05,0.05,0.03901290054840373,430
9,0.01,0.03,0.01,0.01,0.03133592746720408,430
10,0.01,0.03,0.01,0.03,0.03036178541830849,430
11,0.01,0.03,0.01,0.05,0.030552363311633145,430
12,0.01,0.03,0.03,0.01,0.02841648413455885,430
13,0.01,0.03,0.03,0.03,0.027962650569359822,430
14,0.01,0.03,0.03,0.05,0.029499460119687976,430
15,0.01,0.03,0.05,0.01,0.028033311230114294,430
16,0.01,0.03,0.05,0.03,0.031717372460111116,430
17,0.01,0.03,0.05,0.05,0.03624500868151634,430
18,0.01,0.05,0.01,0.01,0.0399523041680616,430
19,0.01,0.05,0.01,0.03,0.042601815226568786,430
20,0.01,0.05,0.01,0.05,0.04587373899618763,430
21,0.01,0.05,0.03,0.01,0.03430596141474412,430
22,0.01,0.05,0.03,0.03,0.036463090177241954,430
23,0.01,0.05,0.03,0.05,0.03976292423958942,430
24,0.01,0.05,0.05,0.01,0.035181166507891354,430
25,0.01,0.05,0.05,0.03,0.03900751551361834,430
26,0.01,0.05,0.05,0.05,0.043562867320572886,430
27,0.03,0.01,0.01,0.01,0.018525108798509885,430
28,0.03,0.01,0.01,0.03,0.016371498678643927,430
29,0.03,0.01,0.01,0.05,0.014884609340039368,430
30,0.03,0.01,0.03,0.01,0.016916980889886024,430
31,0.03,0.01,0.03,0.03,0.014642639567226567,430
32,0.03,0.01,0.03,0.05,0.013797209705648104,430
33,0.03,0.01,0.05,0.01,0.018016852835623254,430
34,0.03,0.01,0.05,0.03,0.018036682570213205,430
35,0.03,0.01,0.05,0.05,0.019480666272572156,430
36,0.03,0.03,0.01,0.01,0.013242745079818133,430
37,0.03,0.03,0.01,0.03,0.013134180547245019,430
38,0.03,0.03,0.01,0.05,0.01327707721146692,430
39,0.03,0.03,0.03,0.01,0.011453408984430887,430
40,0.03,0.03,0.03,0.03,0.010827845606204223,430
41,0.03,0.03,0.03,0.05,0.011080289276383697,430
42,0.03,0.03,0.05,0.01,0.016974460001059948,430
43,0.03,0.03,0.05,0.03,0.018738175969589644,430
44,0.03,0.03,0.05,0.05,0.02116429621936271,430
45,0.03,0.05,0.01,0.01,0.02684261887318698,430
46,0.03,0.05,0.01,0.03,0.026778010022518017,430
47,0.03,0.05,0.01,0.05,0.026811322180728688,430
48,0.03,0.05,0.03,0.01,0.018046285426411925,430
49,0.03,0.05,0.03,0.03,0.015861775163478767,430
50,0.03,0.05,0.03,0.05,0.014740130183799405,430
51,0.03,0.05,0.05,0.01,0.015313446073100034,430
52,0.03,0.05,0.05,0.03,0.014497921227962918,430
53,0.03,0.05,0.05,0.05,0.017053932867712878,430
54,0.05,0.01,0.01,0.01,0.03721335207668595,430
55,0.05,0.01,0.01,0.03,0.036330749677502404,430
56,0.05,0.01,0.01,0.05,0.03700070581317064,430
57,0.05,0.01,0.03,0.01,0.026701809788594915,430
58,0.05,0.01,0.03,0.03,0.024695939518979644,430
59,0.05,0.01,0.03,0.05,0.023953148677481443,430
60,0.05,0.01,0.05,0.01,0.02570870639677796,430
61,0.05,0.01,0.05,0.03,0.025772386646062732,430
62,0.05,0.01,0.05,0.05,0.026324554491391705,430
63,0.05,0.03,0.01,0.01,0.022954763228548038,430
64,0.05,0.03,0.01,0.03,0.022531887038444158,430
65,0.05,0.03,0.01,0.05,0.022884128366355314,430
66,0.05,0.03,0.03,0.01,0.021937604303698233,430
67,0.05,0.03,0.03,0.03,0.020893042537357142,430
68,0.05,0.03,0.03,0.05,0.021549341039233727,430
69,0.05,0.03,0.05,0.01,0.022607743439520905,430
70,0.05,0.03,0.05,0.03,0.02219929909751448,430
71,0.05,0.03,0.05,0.05,0.02441315467116626,430
72,0.05,0.05,0.01,0.01,0.03081557683323849,430
73,0.05,0.05,0.01,0.03,0.029439081748737893,430
74,0.05,0.05,0.01,0.05,0.028202016240011136,430
75,0.05,0.05,0.03,0.01,0.02519832032856219,430
76,0.05,0.05,0.03,0.03,0.022526945871788398,430
77,0.05,0.05,0.03,0.05,0.02259131378990855,430
78,0.05,0.05,0.05,0.01,0.029731410177208505,430
79,0.05,0.05,0.05,0.03,0.02974284499526214,430
80,0.05,0.05,0.05,0.05,0.034162364003617975,430
