case_id,u1,u2,u3,u4,mean_rel_l2,n_points
0,0.01,0.01,0.01,0.01,0.059526142740382114,430
1,0.01,0.01,0.01,0.03,0.06383040894570349,430
2,0.01,0.01,0.01,0.05,0.06357272239483629,430
3,0.01,0.01,0.03,0.01,0.08173858769100051,430
4,0.01,0.01,0.03,0.03,0.06167434355366228,430
5,0.01,0.01,0.03,0.05,0.061515508983994674,430
6,0.01,0.01,0.05,0.01,0.10781295376136832,430
7,0.01,0.01,0.05,0.03,0.07187232043777192,430
8,0.01,0.01,0.05,0.05,0.07193877502222985,430
9,0.01,0.03,0.01,0.01,0.09699752527275754,430
10,0.01,0.03,0.01,0.03,0.08640923463784789,430
11,0.01,0.03,0.01,0.05,0.06704757364340261,430
12,0.01,0.03,0.03,0.01,0.045881190110306745,430
13,0.01,0.03,0.03,0.03,0.055194953749341316,430
14,0.01,0.03,0.03,0.05,0.04865472552764437,430
15,0.01,0.03,0.05,0.01,0.04473186274060736,430
16,0.01,0.03,0.05,0.03,0.048675651565273786,430
17,0.01,0.03,0.05,0.05,0.04558143924636028,430
18,0.01,0.05,0.01,0.01,0.1413125354214479,430
19,0.01,0.05,0.01,0.03,0.11492720023800732,430
20,0.01,0.05,0.01,0.05,0.07668371403123142,430
21,0.01,0.05,0.03,0.01,0.09485957629442174,430
22,0.01,0.05,0.03,0.03,0.08390934873675601,430
23,0.01,0.05,0.03,0.05,0.06517763398228181,430
24,0.01,0.05,0.05,0.01,0.07212195378142129,430
25,0.01,0.05,0.05,0.03,0.07160539241781289,430
26,0.01,0.05,0.05,0.05,0.06709479610850233,430
27,0.03,0.01,0.01,0.01,0.031885000682243515,430
28,0.03,0.01,0.01,0.03,0.028266666322030138,430
29,0.03,0.01,0.01,0.05,0.023008811851787818,430
30,0.03,0.01,0.03,0.01,0.033472910513231834,430
31,0.03,0.01,0.03,0.03,0.023366526819585547,430
32,0.03,0.01,0.03,0.05,0.026494957198954967,430
33,0.03,0.01,0.05,0.01,0.04364417762714609,430
34,0.03,0.01,0.05,0.03,0.03697455254698644,430
35,0.03,0.01,0.05,0.05,0.04219563545100098,430
36,0.03,0.03,0.01,0.01,0.03401453247196728,430
37,0.03,0.03,0.01,0.03,0.02684364310357499,430
38,0.03,0.03,0.01,0.05,0.020981945247286776,430
39,0.03,0.03,0.03,0.01,0.018625139721857985,430
40,0.03,0.03,0.03,0.03,0.020371413548362957,430
41,0.03,0.03,0.03,0.05,0.019578651121164546,430
42,0.03,0.03,0.05,0.01,0.028261286134231463,430
43,0.03,0.03,0.05,0.03,0.024183818047266013,430
44,0.03,0.03,0.05,0.05,0.027683505422366583,430
45,0.03,0.05,0.01,0.01,0.060791889634467224,430
46,0.03,0.05,0.01,0.03,0.049157127040548074,430
47,0.03,0.05,0.01,0.05,0.04217307211092029,430
48,0.03,0.05,0.03,0.01,0.035374081879211115,430
49,0.03,0.05,0.03,0.03,0.02715965314077524,430
50,0.03,0.05,0.03,0.05,0.021896516280744266,430
51,0.03,0.05,0.05,0.01,0.027263132240016242,430
52,0.03,0.05,0.05,0.03,0.025945152154559715,430
53,0.03,0.05,0.05,0.05,0.034624368643257256,430
54,0.05,0.01,0.01,0.01,0.06720812232033094,430
55,0.05,0.01,0.01,0.03,0.047747149961993966,430
56,0.05,0.01,0.01,0.05,0.04063338983581975,430
57,0.05,0.01,0.03,0.01,0.0874324235380661,430
58,0.05,0.01,0.03,0.03,0.06252978787884497,430
59,0.05,0.01,0.03,0.05,0.05531824708388392,430
60,0.05,0.01,0.05,0.01,0.08276232189273047,430
61,0.05,0.01,0.05,0.03,0.07368324164450436,430
62,0.05,0.01,0.05,0.05,0.07834617704233601,430
63,0.05,0.03,0.01,0.01,0.03480616187783424,430
64,0.05,0.03,0.01,0.03,0.03533768775832959,430
65,0.05,0.03,0.01,0.05,0.0466537989010616,430
66,0.05,0.03,0.03,0.01,0.03943657140686339,430
67,0.05,0.03,0.03,0.03,0.03164112981426256,430
68,0.05,0.03,0.03,0.05,0.03873790432171613,430
69,0.05,0.03,0.05,0.01,0.03231463643748457,430
70,0.05,0.03,0.05,0.03,0.034510361985755,430
71,0.05,0.03,0.05,0.05,0.046580408309692095,430
72,0.05,0.05,0.01,0.01,0.03730150499158268,430
73,0.05,0.05,0.01,0.03,0.03827435680481665,430
74,0.05,0.05,0.01,0.05,0.047467914735496636,430
75,0.05,0.05,0.03,0.01,0.02705266317074828,430
76,0.05,0.05,0.03,0.03,0.024968602004309136,430
77,0.05,0.05,0.03,0.05,0.028013054619168816,430
78,0.05,0.05,0.05,0.01,0.035246336621213174,430
79,0.05,0.05,0.05,0.03,0.032228293868323064,430
80,0.05,0.05,0.05,0.05,0.03918790238190878,430
