% Model:              5zones.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 9 2026, 12:02
% Dimension:          1
% Nodes:              101
% Expressions:        3159
% Description:        Molar concentration, c
% Grid
0                         1                        2                        3                        4                        5                        6                        7                        8                        9                        10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20                       21                       22                       23                       24                       25                       26                       27                       28                       29                       30                       31                       32                       33                       34                       35                       36                       37                       38                       39                       40                       41                       42                       43                       44                       45                       46                       47                       48                       49                       50                       51                       52                       53                       54                       55                       56                       57                       58                       59                       60                       61                       62                       63                       64                       65                       66                       67                       68                       69                       70                       71                       72                       73                       74                       75                       76                       77                       78                       79                       80                       81                       82                       83                       84                       85                       86                       87                       88                       89                       90                       91                       92                       93                       94                       95                       96                       97                       98                       99                       100                     
% Data
% c (mol/m^3) @ t=0, u1=0.01, u2=0.01, u3=0.01, u4=0.01, u5=0.01
1                         -4.5228457729639564E-8   2.159347170152273E-15    2.429049619556493E-20    3.234029231194473E-26    3.2960419531634304E-32   3.0016600099892577E-38   2.5681431685853934E-44   2.111589465229416E-50    1.6890005337404447E-56   1.3239176014681198E-62   1.0217940586562271E-68   7.790195122816508E-75    5.880645162805612E-81    4.402910824472962E-87    3.2738666708952E-93      2.4200833644693813E-99   1.7799128735061864E-105  1.3033148956457035E-111  9.50635316434038E-118    6.910104932075512E-124   5.007517918951453E-130   3.618794268209323E-136   2.6087065070187113E-142  1.8763191843387718E-148  1.3467757137039009E-154  9.64865357905839E-161    6.900611668883016E-167   4.9273866258898384E-173  3.513225083995323E-179   2.5015087296252143E-185  1.7788787070145694E-191  1.2635029233544671E-197  8.964486853538282E-204   6.353665619595127E-210   4.4988412879213946E-216  3.182581786456984E-222   2.2494899530102515E-228  1.5886754562396342E-234  1.121120488054858E-240   7.905933449710152E-247   5.571269719169128E-253   3.9234718259840545E-259  2.761316920955677E-265   1.9422465388589376E-271  1.3653592927400998E-277  9.59301910837959E-284    6.736587369782021E-290   4.7283616157312906E-296  3.3172385754331604E-302  2.3261977277339765E-308  1.6305679463E-314        4.763E-321               0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
% Data
% c (mol/m^3) @ t=100, u1=0.01, u2=0.01, u3=0.01, u4=0.01, u5=0.01
1                         0.8551207359120235       0.7035370973406724       0.5550797663659196       0.4187294404283536       0.3012452826774752       0.2063061549564434       0.13437088082976162      0.08324607884942417      0.04911660929372068      0.027660124837926924     0.014910901009438952     0.007720170566018048     0.003852562185108815     0.0018594801978000781    8.709784859475902E-4     3.9714872799876067E-4    1.767945086321398E-4     7.70323461251986E-5      3.2928088419748005E-5    1.3836856245124204E-5    5.726267043004871E-6     2.337555797425024E-6     9.425811625581283E-7     3.7590559326813965E-7    1.4842753951833925E-7    5.8082027536196964E-8    2.254380243218599E-8     8.685486831975084E-9     3.323752654216488E-9     1.2641074775966603E-9    4.780626525971946E-10    1.7985853054389662E-10   6.734430580675175E-11    2.510461663698871E-11    9.320342123338444E-12    3.4471786969156227E-12   1.2704710947973429E-12   4.667012435120124E-13    1.7091513621351383E-13   6.2412984836241E-14      2.2730026603241155E-14   8.25707664356211E-15     2.9923938648970976E-15   1.0820229802341296E-15   3.9042159925135345E-16   1.4059205050105243E-16   5.053162834639175E-17    1.812941969002789E-17    6.493246388288804E-18    2.321847196452172E-18    8.2895880141619985E-19   2.955229629967655E-19    1.052053306822611E-19    3.740242611356688E-20    1.3280144677274092E-20   4.709455424503936E-21    1.668114153386653E-21    5.901861242228044E-22    2.0858355270044718E-22   7.364062758058529E-23    2.597279536201089E-23    9.151665503710687E-24    3.2216423884903736E-24   1.1330913743812158E-24   3.9817759083894743E-25   1.3980609505061246E-25   4.904844600785236E-26    1.7194361857217095E-26   6.023095477116766E-27    2.108322115604547E-27    7.37475928359585E-28     2.5778761742344884E-28   9.005104757942947E-29    3.143668674918329E-29    1.0967670994947666E-29   3.8241040411717085E-30   1.3325706992869228E-30   4.640912684223812E-31    1.615385206427087E-31    5.619724990543755E-32    1.9540096120599816E-32   6.790740692489058E-33    2.3588064988035132E-33   8.189508983875717E-34    2.8419683007331987E-34   9.857837152266523E-35    3.4178273355613126E-35   1.1844848279520031E-35   4.103216596685944E-36    1.420821176498497E-36    4.9178893733186164E-37   1.7015573868733488E-37   5.885006200617087E-38    2.0346192974791902E-38   7.031611867158423E-39    2.4289946670700318E-39   8.379765820036432E-40    2.8639244625344666E-40   8.936837541915072E-41    0
% Data
% c (mol/m^3) @ t=200, u1=0.01, u2=0.01, u3=0.01, u4=0.01, u5=0.01
1                         0.9106950495885241       0.8143184375356265       0.7140391059810914       0.613256172441459        0.515317943254105        0.42324349397217664      0.3394824791230374       0.2657454641376333       0.20292742345023876      0.15113181634407896      0.10978462379394444      0.07781147178657158      0.05384133250659079      0.036400243356549206     0.02406740123968651      0.015579884558284516     0.009885923372126222     0.006156203706283812     0.003766855159435358     0.002267431084013855     0.001344252756921401     7.857775200618983E-4     4.533612336019625E-4     2.58429283748551E-4      1.4567648719980328E-4    8.127499165318252E-5     4.4914413896376005E-5    2.4603158784592484E-5    1.3367868036555008E-5    7.208846376200045E-6     3.8605209880993375E-6    2.0541227344236656E-6    1.0864560856915765E-6    5.714667756789778E-7     2.990437113371978E-7     1.557401535810407E-7     8.074820487053246E-8     4.169303817389429E-8     2.144438661288266E-8     1.098990996495414E-8     5.613153763825746E-9     2.857890702226683E-9     1.4507620271430991E-9    7.344086299033254E-10    3.708030287108966E-10    1.8675828085997132E-10   9.3844656914738E-11      4.7053246136026124E-11   2.3543603866873022E-11   1.1757327907584513E-11   5.86060013893853E-12     2.9161877281479754E-12   1.448664934437989E-12    7.185151222289162E-13    3.558387759151362E-13    1.7597526104351363E-13   8.690813533441068E-14    4.286543646009841E-14    2.1116299991338834E-14   1.0390016994183529E-14   5.106521276770512E-15    2.507065503575608E-15    1.2295827683138103E-15   6.02448765075054E-16     2.9489699021993133E-16   1.4421984320074192E-16   7.046927343431364E-17    3.440403834217306E-17    1.6782932512910523E-17   8.180658259364451E-18    3.9845850780776544E-18   1.939385851096184E-18    9.432847331868596E-19    4.5848958715342535E-19   2.2270723401139346E-19   1.0811026522546711E-19   5.2448904064846157E-20   2.5430298250330118E-20   1.2323109311392216E-20   5.968302571224914E-21    2.889020047232239E-21    1.3977407784984085E-21   6.759053982031101E-22    3.2668931584333995E-22   1.5782650388132387E-22   7.621262329138821E-23    3.678591642281719E-23    1.7748000289582428E-23   8.559249832583585E-24    4.126153864809557E-24    1.9883062083193093E-24   9.577522969847244E-25    4.611649675157225E-25    2.219629420133754E-25    1.067701838043672E-25    5.128376500832695E-26    2.448893144278789E-26    1.1373018797203821E-26   4.533505022321744E-27    0
% Data
