epoch,train_total,train_pde,proxy_pde_p90,proxy_pde_p50,proxy_pde_rms_excl,proxy_ic_rms,proxy_inlet_rms,proxy_outlet_rms,proxy_combined,wall_s
0,nan,nan,0.6740129210589043,0.31750180931497857,0.4229018180123473,0.6872723542740095,0.7664260730652219,0.6424717646572106,1.388097835370268,0.41
100,0.0063648795556123785,0.001939381196010228,0.03720560598787881,0.002009052073788098,0.03295561291802181,0.028384163734699052,0.013932897841635546,1.3376347610240761e-05,0.04882666985404203,132.53
200,0.005981307830694912,0.0016519664925062608,0.03716430629810931,0.0025021159360801744,0.03120945239700236,0.026716666115025725,0.011137711741103149,2.8688699286079865e-05,0.047106425854556454,263.87
300,0.005753879619020852,0.001475198148537722,0.032818706035525086,0.0025994430318865905,0.0296046830822518,0.028377925950641023,0.009088970857509097,3.921757353687449e-05,0.04432815218766737,394.5
400,0.005563157433465651,0.001294993505959981,0.026085831294091255,0.001517992605559462,0.027117000160780898,0.028170200289808402,0.008634761941771731,2.073977423627104e-05,0.03935213237679779,527.64
500,0.005412947572114076,0.0011730029180714874,0.027562936411857877,0.0025376189943117477,0.026852326393847076,0.027519532393720642,0.007666403214520554,6.021936322967876e-05,0.03969656775380561,658.11
600,0.005239430944532202,0.0009975017476648272,0.026645413235596715,0.003426290945274399,0.025488718244163548,0.02746015727964364,0.0078764976457481,0.0001952386368288672,0.03906552978787392,792.01
700,0.005118888719434803,0.0008902780600900501,0.025068084533551582,0.003325321828732797,0.023790863557103165,0.026729028498736002,0.007269211799122789,0.00029254227811252565,0.037360096999773953,919.3
800,0.005041003812967657,0.0008113622395317991,0.02396151358144266,0.003698041203343938,0.023049816990900224,0.026368404703501547,0.007317646519621101,0.00034920811554920247,0.036374672460592575,1045.84
900,0.004982915097184511,0.0007561440209896197,0.024031665970500396,0.003721093906266258,0.022807224764405627,0.026859494175973362,0.0072667753541822795,0.0003756692492234162,0.03676820022981566,1161.62
1000,0.004931501078286858,0.0007031896323883418,0.0246608719029846,0.0037282686989806857,0.022860573974814544,0.02651518642549804,0.007366625362785974,0.0003870255106506116,0.036954440493340804,1280.97
1100,0.00488282171474003,0.0006592325964973443,0.02350454734576428,0.003241037459600372,0.0224233197369774,0.026941121742267662,0.007015964304266541,0.00039336465979178164,0.03643715517895541,1400.53
1200,0.004838188585867437,0.000615299030207453,0.023361607442615562,0.0033624723002618102,0.021928626471495186,0.02723113067055032,0.006810949323240606,0.00047040040701611975,0.03652272562564478,1516.8
1300,0.004785761638091451,0.0005692031112514932,0.024785851337381037,0.0037781135632016793,0.02177792785594284,0.026927839035798574,0.006459391671772726,0.0007074282505799125,0.03717083718664023,1643.57
1400,0.004749062096690984,0.0005342397201086851,0.023034085953713923,0.0038990489997291697,0.02155419199628831,0.02637665642835821,0.006360917150932594,0.0005800395560004169,0.03559627554885883,1752.01
1500,0.004740932895860585,0.0005259055377254927,0.023068022408541555,0.004106558329201126,0.021508839508619267,0.026508690465581367,0.006404867173746252,0.0005334413962189545,0.03572325868782847,1784.44
1600,0.004740932895860585,0.0005259055377254927,0.023068022408541555,0.004106558329201126,0.021508839508619267,0.026508690465581367,0.006404867173746252,0.0005334413962189545,0.03572325868782847,1790.96
1700,0.004740932895860585,0.0005259055377254927,0.023068022408541555,0.004106558329201126,0.021508839508619267,0.026508690465581367,0.006404867173746252,0.0005334413962189545,0.03572325868782847,1795.61
1800,0.004740932895860585,0.0005259055377254927,0.023068022408541555,0.004106558329201126,0.021508839508619267,0.026508690465581367,0.006404867173746252,0.0005334413962189545,0.03572325868782847,1800.41
1827,0.004740932895860585,0.0005259055377254927,0.023068022408541555,0.004106558329201126,0.021508839508619267,0.026508690465581367,0.006404867173746252,0.0005334413962189545,0.03572325868782847,1802.08
