tag,u1,u2,u3,u4,contrast,n_params,mesh_nx,mesh_nt,proxy_threshold,crossed_epoch,proxy_at_cross,true_at_cross,final_epoch,final_proxy,final_true,best_true,wall_s
u0p01_0p01_0p01_0p01,0.01,0.01,0.01,0.01,0.0,4285,120,120,0.005,-1,nan,nan,3000,0.3109465355484037,0.005665910363306491,0.004848856244428408,986.0
u0p05_0p05_0p05_0p05,0.05,0.05,0.05,0.05,0.0,4285,120,120,0.005,-1,nan,nan,586,0.030529236915456465,0.011041990682523435,0.011041990682523435,374.4
u0p03_0p03_0p05_0p05,0.03,0.03,0.05,0.05,0.020000000000000004,4285,120,120,0.005,-1,nan,nan,724,0.05005179199367994,0.00882706191725194,0.00882706191725194,560.6
u0p01_0p01_0p01_0p05,0.01,0.01,0.01,0.05,0.04,4285,120,120,0.005,-1,nan,nan,678,0.5568143765811723,0.018382156613840787,0.011658398254210762,485.3
u0p01_0p03_0p05_0p05,0.01,0.03,0.05,0.05,0.04,4285,120,120,0.005,-1,nan,nan,1233,0.28435011539228244,0.007830134003761946,0.006589776887971993,1205.8
u0p05_0p03_0p01_0p01,0.05,0.03,0.01,0.01,0.04,4285,120,120,0.005,-1,nan,nan,1578,0.041246976300148355,0.008978252628125566,0.008978252628125566,1676.6
u0p01_0p05_0p05_0p01,0.01,0.05,0.05,0.01,0.08,4285,120,120,0.005,-1,nan,nan,1342,0.37287634223131433,0.01057823907025293,0.01057823907025293,1384.8
u0p05_0p01_0p01_0p05,0.05,0.01,0.01,0.05,0.08,4285,120,120,0.005,-1,nan,nan,753,0.10705749348326521,0.008030278386282324,0.008030278386282324,598.4
u0p01_0p05_0p01_0p05,0.01,0.05,0.01,0.05,0.12,4285,120,120,0.005,-1,nan,nan,2535,0.494704582239966,0.01700129298347601,0.012516102848920593,2893.6
u0p05_0p01_0p05_0p01,0.05,0.01,0.05,0.01,0.12,4285,120,120,0.005,-1,nan,nan,833,0.07110402985691984,0.010628042556050198,0.010568359396947863,717.0
