u1,u2,u3,u4
1.027560147658181100e-02,3.530357334964580318e-02,2.551137091639040649e-02,2.037893000847779829e-02
4.308385724780006837e-02,4.429134154394467199e-02,1.384473177647267336e-02,4.680003488892552771e-02
1.242676505084068517e-02,2.211577724659954947e-02,3.960169854969732006e-02,2.907445185487918943e-02
2.024339913822530146e-02,1.847316685702005135e-02,3.140892212399006012e-02,3.082811634515094518e-02
4.528792732480786676e-02,3.920068292816008410e-02,1.790490930140431480e-02,1.684449117388902781e-02
3.582848553173174216e-02,3.313780087914829781e-02,1.601221731164520143e-02,3.691775831753280751e-02
4.688502087268562463e-02,2.264886730982882540e-02,1.651059643409023142e-02,2.014060490980488713e-02
1.872550353999338085e-02,1.831969134136366556e-02,1.642339038839377152e-02,3.320610407331661684e-02
4.015440414799063829e-02,4.273689380530073384e-02,2.582222099128227144e-02,3.643119467652257415e-02
1.542613396182353214e-02,3.503252562341756943e-02,3.742992482474759297e-02,1.316667534071718805e-02
4.727604231624588788e-02,2.096473323243085510e-02,1.928058156161020081e-02,2.033335681205662715e-02
1.498774884628755605e-02,1.833377284552110964e-02,1.120041697839476227e-02,1.775617040624331150e-02
4.157586674417433625e-02,2.488220014132548619e-02,1.924045446947497684e-02,1.472341288507061918e-02
4.667895122217668308e-02,4.588826762622216782e-02,4.064645082287127176e-02,2.385675550223949337e-02
1.714568807293819636e-02,2.683717743171517428e-02,4.459717766942917355e-02,4.691001970344341881e-02
2.439818352342540755e-02,4.868741540507025983e-02,4.728967683395767646e-02,2.501326074009168482e-02
3.249456917463453692e-02,1.026723975541074182e-02,2.969822088476090083e-02,2.329646250606027397e-02
3.382362259647888475e-02,4.794432499360667260e-02,1.626178111861754580e-02,3.843635740177666488e-02
3.304179925522881395e-02,2.151831505324674348e-02,2.532324844031595690e-02,1.816563164571982636e-02
2.885184719827587480e-02,1.360107693239084002e-02,4.059794121248039289e-02,2.781580346889700461e-02
4.118774963036124503e-02,2.722480937094275827e-02,3.008572134900942829e-02,4.553472190109680851e-02
3.406616663305752496e-02,3.137436491175682463e-02,3.518497439822395462e-02,4.874405631934403821e-02
2.287671378808454198e-02,4.317197638040311952e-02,3.013240004324595211e-02,4.270378384931702159e-02
2.769495541981178977e-02,1.752204184394812875e-02,1.872242845757642396e-02,2.210270948977778593e-02
2.454308169380509108e-02,1.709186446204159077e-02,3.026805039232260269e-02,1.464517885014507068e-02
3.536738010159798384e-02,4.756418712314036679e-02,3.498509759997826124e-02,1.150063050166919530e-02
4.129380724890934634e-02,4.562324910372135556e-02,2.566931612763037607e-02,4.866517193878545228e-02
4.324046969458312378e-02,2.270418695349882970e-02,4.274731535181559849e-02,4.755279620871149387e-02
2.402095014818483171e-02,1.318438657225459200e-02,1.974010442453896785e-02,3.820979018543295413e-02
4.782965524742673752e-02,3.834898088056160753e-02,1.723808640287414345e-02,3.740635322412232816e-02
4.312780890721369664e-02,4.895217600718659856e-02,4.835076425731345273e-02,3.985116412440722899e-02
1.141134463012993816e-02,3.328479212233501072e-02,3.236458289306313324e-02,1.229648225326764391e-02
3.299409078080756119e-02,4.847912392610281146e-02,2.786998920894441512e-02,3.523271440333476667e-02
2.310077288197219872e-02,2.921889611808363429e-02,4.899179713267819147e-02,2.217305140062249269e-02
2.292649874183153025e-02,4.787795497298003022e-02,2.442782037167730291e-02,2.878131674034292709e-02
4.061572886561702622e-02,3.638617814717263338e-02,2.260993697798224789e-02,2.904902885450530436e-02
4.545486547225281726e-02,4.611326997963422630e-02,3.124026082580988462e-02,4.569393188355747731e-02
3.985794650767163910e-02,1.606485786145433678e-02,4.080587817325692646e-02,2.797711491446325249e-02
2.065018514761015472e-02,1.480517022982662592e-02,2.940254120096023188e-02,2.357986848620169038e-02
4.805471280108156162e-02,3.977792159091888408e-02,3.108724243214055355e-02,2.363660903808384797e-02
3.224852414837171832e-02,2.588326757836616199e-02,2.315968690987188494e-02,3.154394067413052172e-02
1.938500490054310618e-02,4.585345027173921145e-02,2.487847594746719210e-02,4.512230675686826342e-02
1.282107916866341395e-02,3.101199774387015246e-02,3.880666148759072398e-02,1.968798778762117715e-02
3.068965485988058017e-02,2.687326908250779745e-02,3.552196604031181842e-02,2.589729473007441884e-02
1.477873721609316432e-02,1.128317805933856145e-02,4.039995168157309996e-02,2.080463220460635962e-02
2.237768670250200875e-02,4.770351956412856309e-02,1.333189472575128064e-02,4.687424959053371892e-02
4.013342864682670902e-02,1.656438772418428879e-02,3.172151322804083601e-02,2.694248177361253244e-02
2.891945420078790435e-02,4.614861899430519609e-02,3.229325977118815971e-02,1.193979702992417624e-02
2.779550330484478748e-02,3.559145341160385029e-02,3.962745772970749369e-02,3.943542253484266791e-02
1.810681422168985977e-02,1.163706544665500490e-02,1.813302623639364078e-02,2.868042329040109556e-02
2.709279054990684776e-02,2.070812092785915409e-02,2.019769195121890598e-02,1.722885708059718191e-02
2.910424473435538339e-02,2.505926420104198291e-02,1.621951939491993872e-02,1.796893986046534802e-02
1.032394321860113581e-02,2.815565224721144205e-02,4.150424275654355372e-02,3.262593673948707695e-02
