tag,n_zones,zones,interfaces,contrast,best_proxy_p90combined,best_epoch,final_proxy,certified_2pct,comsol_true_rel_l2,n_params,wall_s
z0p01_0p01_0p01_0p01__i0p2_0p4_0p6,4,0.01;0.01;0.01;0.01,0.2;0.4;0.6,0.0,0.03324721717516684,400,0.03324721717516684,False,0.006763736617004727,4285,478.7
z0p05_0p01_0p05_0p01__i0p2_0p4_0p6,4,0.05;0.01;0.05;0.01,0.2;0.4;0.6,0.12,0.0370318474467671,900,0.0370318474467671,False,0.014185703761845272,4285,1007.3
z0p02_0p04__i0p5,2,0.02;0.04,0.5,0.02,0.033774777243548375,500,0.033774777243548375,False,,4213,584.5
z0p05_0p01__i0p5,2,0.05;0.01,0.5,0.04,0.031505629348787846,500,0.03175470805100894,False,,4213,800.9
z0p01_0p04__i0p5,2,0.01;0.04,0.5,0.03,0.02906294811980282,500,0.02906294811980282,True,,4213,560.1
z0p04_0p02__i0p5,2,0.04;0.02,0.5,0.02,0.03559627554885883,1400,0.03572325868782847,False,,4213,1802.1
z0p01_0p05_0p01__i0p333333_0p666667,3,0.01;0.05;0.01,0.333333;0.666667,0.08,0.036807919110063904,1200,0.036807919110063904,False,,4249,1512.2
z0p05_0p01_0p05__i0p333333_0p666667,3,0.05;0.01;0.05,0.333333;0.666667,0.08,0.033511393903160464,500,0.0337352202134113,False,,4249,734.9
z0p02_0p04_0p02__i0p333333_0p666667,3,0.02;0.04;0.02,0.333333;0.666667,0.04,0.03593091354758333,500,0.03593091354758333,False,,4249,636.5
z0p05_0p03_0p01__i0p333333_0p666667,3,0.05;0.03;0.01,0.333333;0.666667,0.04,0.0324704593164327,600,0.0324704593164327,False,,4249,697.7
