u1,u2,u3,u4
1.996012695840697349e-02,2.153984463497009283e-02,4.545524611623701083e-02,2.358455157746180975e-02
4.011397438305204510e-02,1.700339463454281913e-02,4.781760818058587020e-02,3.272705390826771005e-02
4.423791948118022122e-02,2.605159849065980665e-02,1.231183781826664624e-02,3.653706582767004413e-02
1.047469960774603456e-02,1.594257500313547155e-02,3.137752478672390516e-02,2.305883266577439181e-02
3.535897878053000792e-02,1.489135121075554208e-02,4.936447221586427042e-02,2.453738091243289066e-02
2.673403694906321959e-02,4.704794468350111808e-02,2.433780662550049517e-02,2.435889403170771184e-02
4.981013661827422140e-02,2.855670352066006640e-02,2.532941635269568559e-02,2.083531625531980652e-02
3.292164970885697733e-02,1.517627687727905565e-02,1.800348091481365764e-02,2.424222397152430569e-02
1.666066927831161629e-02,2.774325327661993773e-02,1.633142490453230039e-02,1.599144395823272335e-02
3.518504108126573049e-02,3.224174582505595632e-02,3.898422846784758977e-02,1.914806803202796087e-02
4.355016335918779347e-02,3.033544623841106375e-02,2.716321016162669133e-02,4.991055584451665333e-02
1.200317226853389596e-02,3.864422656655794319e-02,4.539568256873949270e-02,1.524571754093147213e-02
3.401437368755311219e-02,1.756055915874777176e-02,2.424006977130546692e-02,3.356544473514939952e-02
2.603456236493126297e-02,1.572007474987268533e-02,2.205275102920510599e-02,1.171980997930481549e-02
1.888555200205516843e-02,2.785608351696484269e-02,2.233122898392540107e-02,2.344078528789245511e-02
2.498386257475039562e-02,4.062680870369344416e-02,4.292780235193515564e-02,3.715158424118733538e-02
4.541029019669434036e-02,1.845806248501735691e-02,4.470732139347954881e-02,1.308350907617548790e-02
2.392728745976784727e-02,1.519762368155376693e-02,4.864503286395278209e-02,4.173613365980104878e-02
4.794748743481230813e-02,3.221598342848935176e-02,3.228998048435445523e-02,3.200107126453376194e-02
2.168851127611294560e-02,4.852835427935182910e-02,1.324131532413218640e-02,1.852414348710487366e-02
3.226417789794901875e-02,2.235613799087121309e-02,2.398768788025629206e-02,4.492128773551989224e-02
4.650385051124734243e-02,4.982018739871710289e-02,3.494814920886153697e-02,1.146840650405956188e-02
2.898122596927069777e-02,2.475193358858330042e-02,3.432988434297355035e-02,1.888221036590646829e-02
2.332471794977877821e-02,2.034184158488365132e-02,2.167242650746066535e-02,1.806169354118517673e-02
1.560792916629051737e-02,3.890107046290679910e-02,2.256593140618225884e-02,3.886794673207234763e-02
1.495153872498597436e-02,1.298288379826100132e-02,3.527578279590151689e-02,2.513868455127828139e-02
4.963728342595034176e-02,1.771675988946718600e-02,2.774922597485166703e-02,1.333621233467278261e-02
2.977551122504719372e-02,1.557783552851680492e-02,2.271035461473189937e-02,1.781387494741448405e-02
2.032523467136261586e-02,1.055896453020662741e-02,3.590862867779344436e-02,2.545377894166298005e-02
