u1,u2,u3,u4
4.096858449915712769e-02,4.015050287157119480e-02,1.349645019593332350e-02,4.121938498064510459e-02
3.155640781746003182e-02,1.543959448055968672e-02,4.300180613938305724e-02,4.126311102292571503e-02
3.253276388853635487e-02,3.613398390532112509e-02,3.698686145883813697e-02,1.152794013743265421e-02
3.566124544545720004e-02,1.071942690874916511e-02,4.456646891983599701e-02,1.379230736233577614e-02
4.830116708674456888e-02,4.813425658538853652e-02,2.040292704352832109e-02,4.117228071360529151e-02
2.252066051390287649e-02,3.827043642582257654e-02,2.682447086113810136e-02,1.775276443712718241e-02
2.750270631007410010e-02,4.734876127544484364e-02,2.750969971956303273e-02,2.037272203960575206e-02
1.380524215399205751e-02,2.384900079284352908e-02,1.327515166218426815e-02,1.059307660909504165e-02
1.309536082179944307e-02,2.718497081084528949e-02,2.471939036425973082e-02,3.225596891498663105e-02
1.823278836145612869e-02,2.704314557000184194e-02,3.562848879381266126e-02,1.757477394050112676e-02
4.166135388723027355e-02,2.027142585728169966e-02,2.138132378186024043e-02,1.461919036529226064e-02
1.584138545249396540e-02,3.862680677609073299e-02,4.356054088120578371e-02,2.681841219937509957e-02
3.673553633577684302e-02,4.391154040646943341e-02,4.053961932642053539e-02,2.625337643332853466e-02
2.734167007436028030e-02,3.174598524877170203e-02,2.062819259517655740e-02,1.223939540743350027e-02
2.544536027462813293e-02,4.419689499923103171e-02,3.157357836756913977e-02,3.120939748233680228e-02
1.098994994046218095e-02,1.950005263034666758e-02,3.143230089849323450e-02,2.243083320820606075e-02
4.584841013541749583e-02,4.952339848244124293e-02,3.287371129266930536e-02,4.852543781168511261e-02
4.958514584836470201e-02,1.670358293794866472e-02,3.312528302900174387e-02,1.259767566098494648e-02
3.534228752557625614e-02,4.165941356790841404e-02,2.790651709654608237e-02,1.312980468588271707e-02
1.169778752750811820e-02,4.995305838703836127e-02,3.861220778589150721e-02,4.484292786411388926e-02
1.776167479540506286e-02,3.443881249918590709e-02,2.357564446588229085e-02,4.037348174509067245e-02
1.436044043719113261e-02,3.870526165149322517e-02,2.273724850415276277e-02,2.415059020755973285e-02
4.346235834691975636e-02,4.331858686229360378e-02,1.260305844406437933e-02,4.912422784297437728e-02
3.202762159480911780e-02,4.874426030772934654e-02,1.460526942950660448e-02,3.084502680300616612e-02
4.212215600247779662e-02,2.666168227691328302e-02,4.901751959619266019e-02,1.826679335816244060e-02
1.043578932978709434e-02,1.228646454388875216e-02,3.427992070077563042e-02,1.614308731950338249e-02
1.908208035392294083e-02,3.665690532316718403e-02,1.027814913254304803e-02,4.999028395448499446e-02
4.623840127489004664e-02,4.287807451044765156e-02,1.005922965851640052e-02,1.245289715733936473e-02
1.498256376323631699e-02,3.224855509321654379e-02,3.766901603573930002e-02,1.114974889823534994e-02
3.734062122124703204e-02,4.919802961336243452e-02,4.620508088882244874e-02,1.136437510727579363e-02
1.953279701452086126e-02,1.197167418914390873e-02,1.552069651669954822e-02,4.683846474776968277e-02
3.886978100083335330e-02,2.694173194696022205e-02,2.665258876511076430e-02,4.857531420977562880e-02
2.214103621801432123e-02,4.750406744551548960e-02,2.732140134018047617e-02,1.534710215814678522e-02
3.933881391388843046e-02,4.975649506731670557e-02,2.994002223560817549e-02,4.364442497469329246e-02
3.336405532294334925e-02,1.651469315483958950e-02,2.090189776699631977e-02,2.970849360190225968e-02
3.328469844175901970e-02,2.796176489172307739e-02,1.151478900342645106e-02,1.273453099831349175e-02
2.481325489157752001e-02,1.274442891712472548e-02,4.473306081138507528e-02,4.370427249392499353e-02
2.740400199513724072e-02,2.877365984471732391e-02,1.385591023881470839e-02,3.376995593792092576e-02
1.589602673066285721e-02,4.718407719833801056e-02,4.535333341650257810e-02,3.714723810353874611e-02
4.386816536043743747e-02,1.114157805857822481e-02,4.791179720385264906e-02,3.797435736924330979e-02
1.485813504160018658e-02,1.172905200736760328e-02,3.628990297902556783e-02,2.963000336122790374e-02
2.568090631828427034e-02,1.642472798115921645e-02,4.899658345269860410e-02,1.119144783624391980e-02
2.831831970432023560e-02,2.786594432547995909e-02,4.798803305913865169e-02,3.320380265669941461e-02
4.380417681088801668e-02,1.947081783035312791e-02,2.614103855692739842e-02,2.031564966923211923e-02
4.527261726064581854e-02,2.636709064735408975e-02,2.836977770221957296e-02,4.541746882093530835e-02
4.052024752650764533e-02,4.956915807459091189e-02,1.519707913681364944e-02,4.760683552534141633e-02
3.396915962336657935e-02,2.909860513637781143e-02,2.113618725281431535e-02,3.266607479605205394e-02
1.593882537841793262e-02,3.622082556504740980e-02,3.495774878238337713e-02,3.693521538962769857e-02
4.496305612674203478e-02,1.075429775864976054e-02,4.410649272842044610e-02,3.216656838914547234e-02
2.890170918841303976e-02,1.134267317500269046e-02,1.573769015961785228e-02,3.384172718486608278e-02
3.185761033164601075e-02,4.619031709568596072e-02,3.552065624037045732e-02,1.994724841276252630e-02
4.152831177677703683e-02,3.121349794742904471e-02,3.295668008457659781e-02,4.405119122478218241e-02
3.165223191225707833e-02,2.239321963058405612e-02,4.478526399499925537e-02,3.874882339494277461e-02
2.010104845539702548e-02,1.370862056963796823e-02,4.932060859326971303e-02,3.892366706149386069e-02
2.629941391814467899e-02,4.477270022827110896e-02,2.853128737233422835e-02,4.714106960763469328e-02
3.570692817790752094e-02,4.154557472479523256e-02,1.845614315895100638e-02,3.537930445119524814e-02
1.897304028744764212e-02,2.008425603564421152e-02,3.972743166953354721e-02,3.886117642352580198e-02
1.266351164355625225e-02,3.834927600380799023e-02,1.107651463073371784e-02,3.843884917084022107e-02
3.176382606743648196e-02,1.669302542959868324e-02,4.107236254494890659e-02,3.289081387236920950e-02
1.616308936601077578e-02,2.154538235238098037e-02,3.355161761963296879e-02,4.599612442106353755e-02
1.939522824827949812e-02,1.785721329121522927e-02,3.821159612504355929e-02,2.606384395617045158e-02
3.653095906113795061e-02,3.933008231392285531e-02,4.056239915189981116e-02,4.226599643760861613e-02
4.637087486430790939e-02,4.385247536545754110e-02,4.653857529128294784e-02,1.592656552125700647e-02
4.561473908057048915e-02,1.011200354258195815e-02,3.332829557291622224e-02,1.956608136962093708e-02
3.545716292612688392e-02,3.160810063792873770e-02,1.408789754187770443e-02,1.691100011542007522e-02
