u1,u2,u3,u4
4.553486759932570682e-02,1.552040229725695601e-02,3.663716015674665927e-02,2.793550798451607808e-02
3.972512625396802666e-02,2.915167558444774903e-02,3.808144491150644573e-02,3.625048881834057324e-02
2.838621111082908349e-02,4.362718712425690121e-02,2.254948916707050915e-02,4.642235210994612865e-02
2.732899635636575758e-02,2.901554152699933192e-02,3.893317513586878886e-02,1.959384588986862186e-02
4.340093366939565961e-02,4.034740526831082780e-02,4.308234163482265594e-02,1.177782457088423496e-02
2.829652841112229728e-02,3.665634914065805938e-02,1.529957668891048471e-02,3.708221154970174627e-02
1.388216504805927717e-02,4.147900902035587395e-02,2.412775977565042446e-02,3.993817763168460572e-02
4.652419372319364921e-02,2.671920063427481867e-02,4.886012132974741629e-02,4.951446128727603202e-02
3.731628865743955720e-02,1.326797664867622982e-02,2.337551229140778092e-02,4.624477513198930329e-02
1.410623068916490308e-02,3.871451645600147706e-02,2.410279103505012788e-02,4.877981915240090643e-02
1.208908310978421691e-02,4.153714068582535501e-02,3.482505902548819338e-02,4.241535229223380998e-02
3.583310836199517235e-02,3.862144542087258409e-02,3.716843270496462265e-02,2.629472975950007674e-02
1.474842906862147349e-02,1.792923232517554255e-02,3.063169546113642810e-02,1.836270114666282635e-02
1.675333605948822746e-02,2.331678819901736310e-02,3.170255407614124693e-02,1.715151632594680287e-02
3.339628821970250239e-02,1.931751599938482528e-02,3.425886269405531426e-02,1.300751798586944306e-02
2.855195995236974732e-02,3.032004210427733520e-02,2.262584071879458411e-02,3.870466656656484927e-02
4.143872810833399561e-02,1.081871878595299166e-02,4.357896903413544659e-02,1.806035024934808664e-02
4.442811667869175918e-02,1.304286635035893128e-02,3.922022642320140140e-02,2.499814052878795989e-02
3.667383002046100543e-02,1.108753085432672737e-02,3.120521367723686629e-02,3.450384374870617277e-02
3.995823002200649815e-02,2.704244670963068531e-02,2.132976622871320463e-02,4.179434229129111444e-02
4.944933983632405355e-02,2.931104999934872751e-02,1.482051557270583353e-02,4.973878539607253652e-02
2.276835234975290584e-02,1.992420932119457963e-02,1.242979880332220968e-02,4.672047216604779257e-02
2.448988667753580414e-02,1.333486948983488019e-02,4.016244675525150465e-02,1.293938227437949930e-02
1.594209727584729175e-02,4.171540824618347881e-02,1.084421554360528311e-02,1.539602144240493492e-02
3.449772480198223801e-02,2.504934582153062889e-02,1.301401567695412501e-02,1.181343468652995381e-02
1.758863146382967646e-02,2.390917163511100188e-02,2.882393656062050280e-02,4.139446985560270992e-02
2.162566428313835235e-02,1.368552425853374575e-02,4.138251930603444040e-02,4.927222716358799215e-02
3.727072101991203701e-02,1.490245960835811720e-02,2.696738372681312113e-02,3.532231772587148683e-02
2.682605101058905400e-02,4.299884407457323782e-02,2.125521282859144448e-02,2.075979911858828048e-02
