u1,u2,u3,u4
1.808401269584069757e-02,1.008798446349700936e-02,2.302152461162370115e-02,2.034445515774618157e-02
4.346939743830521147e-02,2.315033946345428084e-02,1.527376081805858696e-02,3.525470539082677102e-02
3.311779194811802218e-02,1.253315984906598103e-02,2.514518378182666741e-02,4.042370658276700501e-02
3.468146996077460520e-02,4.857225750031355510e-02,3.000775247867239204e-02,1.743388326657743792e-02
2.822589787805300510e-02,3.051113512107555409e-02,2.418644722158642957e-02,1.956973809124329042e-02
4.338940369490632692e-02,1.786479446835011198e-02,2.804978066255004593e-02,2.732588940317077358e-02
3.472301366182742322e-02,2.134567035206600544e-02,1.528494163526956939e-02,4.672753162553198308e-02
2.644416497088569740e-02,4.463762768772790851e-02,3.153834809148136492e-02,1.003822239715243016e-02
1.221606692783116198e-02,1.693232532766199283e-02,4.503514249045323381e-02,1.526314439582327279e-02
4.381450410812657431e-02,2.667817458250559826e-02,2.402442284678475704e-02,1.917080680320279451e-02
4.042101633591877602e-02,2.458954462384110862e-02,4.813032101616267211e-02,3.539105558445166527e-02
4.938831722685339126e-02,1.979442265665579473e-02,4.481356825687395767e-02,2.271657175409314694e-02
3.172943736875531717e-02,3.777005591587477562e-02,3.286400697713054431e-02,2.047054447351494277e-02
2.123145623649312641e-02,2.756600747498726828e-02,2.121527510292051111e-02,1.444198099793048140e-02
3.884255520020551272e-02,1.686160835169648459e-02,1.642112289839254072e-02,4.328607852878924717e-02
2.490038625747504134e-02,1.437668087036934536e-02,2.484078023519351724e-02,2.443515842411873515e-02
2.362102901966943447e-02,1.920780624850173743e-02,1.269073213934795476e-02,3.889635090761755370e-02
3.299672874597678329e-02,4.103976236815537471e-02,1.597450328639527656e-02,4.219961336598010426e-02
1.495474874348123179e-02,3.538759834284893602e-02,1.403499804843544654e-02,3.276010712645337219e-02
2.109485112761129433e-02,2.273083542793518513e-02,4.466813153241321749e-02,1.094241434871048683e-02
4.503641778979491223e-02,4.631161379908712433e-02,4.329676878802563023e-02,4.497012877355199140e-02
4.994438505112473725e-02,3.086401873987171252e-02,3.337081492088615764e-02,2.777284065040595828e-02
4.005212259692707277e-02,3.124719335885833144e-02,4.762898843429735213e-02,2.007422103659064691e-02
2.784247179497788272e-02,1.043618415848836592e-02,3.106524265074606800e-02,4.748816935411852291e-02
3.291079291662905165e-02,2.439010704629068077e-02,2.988859314061822342e-02,4.590079467320724166e-02
3.907315387249860050e-02,3.021628837982609506e-02,3.354957827959014621e-02,4.402586845512783398e-02
4.906772834259504057e-02,4.521367598894672490e-02,3.032092259748516566e-02,1.576562123346728073e-02
4.756355112250472417e-02,3.224578355285168119e-02,4.617903546147319321e-02,1.382938749474144947e-02
1.274252346713626236e-02,4.230389645302066320e-02,1.989886286777934471e-02,2.685537789416629628e-02
3.552220377541846774e-02,3.359332473541164904e-02,1.833868074815898225e-02,3.481002468718424891e-02
2.892646381156274010e-02,2.248430339196227229e-02,3.556293812686049660e-02,4.103883968784737685e-02
4.748156648205037467e-02,1.756439948511719779e-02,1.827203458212880299e-02,2.375652990260998867e-02
3.773786417411818805e-02,4.181726258407211100e-02,3.750079280403467719e-02,3.446683337093606192e-02
2.919022271296182330e-02,1.684703535906148172e-02,1.806903132615925861e-02,3.355477296632333739e-02
2.068525959206621648e-02,2.663120403749580367e-02,1.521176304674025370e-02,1.732016833567595615e-02
2.652979711478491154e-02,2.561074208840646849e-02,1.112612908966565534e-02,4.278331298772095753e-02
1.620651472878542262e-02,2.318982274371243768e-02,3.104162105826287210e-02,3.271005082242706141e-02
2.172536077072736993e-02,4.844095616898789342e-02,2.216590239527579942e-02,1.311032785524605428e-02
4.574184040162947162e-02,1.639262992707317054e-02,2.921019270346115332e-02,1.359723299209043834e-02
3.590683349870067709e-02,3.118335558541274893e-02,2.960343068203373507e-02,2.135751514342687854e-02
1.671072856175960172e-02,4.995928694568708972e-02,1.020049873659889007e-02,2.623281302666562176e-02
3.076500129249531978e-02,1.205232320415210515e-02,2.331759201519774394e-02,1.546613870915594310e-02
1.744268381628187245e-02,2.410046161403008036e-02,1.407407576168735047e-02,2.422022788654570186e-02
3.768707502704217449e-02,3.363929007828175138e-02,3.826047841068643679e-02,1.888037420973524144e-02
4.350590121721484987e-02,2.630673415783212066e-02,3.556028372734850590e-02,3.299092983969846571e-02
3.780866600690237916e-02,2.847536363391656167e-02,1.283817116267629843e-02,3.863307402479623093e-02
4.125972668220457412e-02,4.543491443798362839e-02,4.368812542752119332e-02,3.186230643500322784e-02
1.183949658434225310e-02,1.665776855405007653e-02,4.887371764589976131e-02,3.161536578110871881e-02
3.403663279937924752e-02,3.581305430481215857e-02,1.343109691124547839e-02,1.300947172677835786e-02
4.356547544163901636e-02,3.233685682466477113e-02,3.079269035065017313e-02,2.041190340725346219e-02
1.466042981264470066e-02,3.856257389686429393e-02,1.123298739285232863e-02,3.455975038688641893e-02
2.565170720453828490e-02,2.406912400367630309e-02,2.095549967800221583e-02,2.042163148855011962e-02
3.438711808611049497e-02,3.439410017878670456e-02,2.399155416862117779e-02,3.594641317642745248e-02
3.539948195375174078e-02,3.609523923417252977e-02,3.283085141814906516e-02,4.259471993006876817e-02
2.614006131470521938e-02,2.102309056969743628e-02,3.605243342274169760e-02,4.267986823712119349e-02
3.404854202308941341e-02,1.115194217327096678e-02,1.468126946318972295e-02,1.499319525598795041e-02
2.484204056563325130e-02,1.174708998272151403e-02,2.728513043096118806e-02,3.232217582317393340e-02
3.713227433221679558e-02,4.165284046991785810e-02,2.132159118380868093e-02,4.427481137171115216e-02
4.153042834881155027e-02,4.062043054452827567e-02,4.061147892234744788e-02,4.751746992770254641e-02
1.938363023914004349e-02,1.687287578995989162e-02,3.802091828248537614e-02,3.407066193397135373e-02
3.476092506791352704e-02,4.964786054210790223e-02,4.899223415429921485e-02,1.260038878852258459e-02
3.773350396261764689e-02,4.525729356820529237e-02,3.198115653400419867e-02,1.008217561002293025e-02
3.484512178181453645e-02,2.981804900807742686e-02,3.589512284077510385e-02,2.531018064985297855e-02
4.915554279291416140e-02,4.867478961658631975e-02,2.672136467066207888e-02,3.189240963166909554e-02
4.480176701516482007e-02,2.503733440058218337e-02,2.888355553902779982e-02,3.644198863185184323e-02
4.704811760135828302e-02,4.190241302620331676e-02,2.294401064543171581e-02,2.872988817504319725e-02
4.834322677873422597e-02,4.144791278285911429e-02,4.134830027482604142e-02,3.400134028911407785e-02
4.120555346912169181e-02,2.027450574131783867e-02,2.133084222216692638e-02,2.587773373719165493e-02
1.393013838397955291e-02,1.787859142668205004e-02,3.640871709270838974e-02,2.706421293887720930e-02
1.555528060801629475e-02,4.133310137041260740e-02,3.691870759646416478e-02,3.069512133844502777e-02
4.654722736230584162e-02,4.544540520550487128e-02,1.669308557806182397e-02,3.081110982468045906e-02
1.172142925336694917e-02,3.331307910961475022e-02,1.291917468883050160e-02,3.309716355668591153e-02
3.148148455042462657e-02,1.450471209420501652e-02,2.886518231784693245e-02,2.242961737029797176e-02
2.153167828865271485e-02,3.701165139499670853e-02,3.971069597908149368e-02,4.572832227036498220e-02
3.825001639953976712e-02,2.470114674551734946e-02,1.870217993615172491e-02,4.689679344605927891e-02
2.195079903343062633e-02,1.887932682879778223e-02,1.910274355089057463e-02,2.998284925481421725e-02
4.854376354541407868e-02,1.228783392944120603e-02,3.936279910245497893e-02,3.159461706928960723e-02
1.212788855392904833e-02,4.150678259810050563e-02,3.275797824103184042e-02,2.149059538623823012e-02
2.769626377121221089e-02,1.863121537279142231e-02,3.471814794720773367e-02,3.705993265153290084e-02
3.462234788668720753e-02,1.985737195093743510e-02,1.432233062097727425e-02,4.018422865518623405e-02
3.947126693681572707e-02,4.061457938710826693e-02,3.009524237163872795e-02,3.884849736206994614e-02
1.218625531339134760e-02,1.995507485721381702e-02,4.107485128533287094e-02,3.278242956282136078e-02
3.600173362156593865e-02,4.484812860665980672e-02,2.183771166431842936e-02,2.630279038628046545e-02
3.468449672606537665e-02,1.177659596747531422e-02,4.929820455637898280e-02,1.142278806377559214e-02
1.719617264102108259e-02,4.605739622079024764e-02,3.896731708528624466e-02,1.353871247217425938e-02
3.522644569311431106e-02,2.666542034825374746e-02,4.832534655305927018e-02,4.577487805043251728e-02
3.524763201082781877e-02,2.054539429834858003e-02,2.144598151683285714e-02,4.730784508527957621e-02
2.415725819507126559e-02,2.537318839011837648e-02,2.608364262384499366e-02,4.998289909623949284e-02
2.233402412904385292e-02,4.541251077475026710e-02,2.024780713966534140e-02,1.408821697245001350e-02
1.964701334414469674e-02,3.948220314044277590e-02,1.047336168452227267e-02,3.871644246487921520e-02
2.942842022705109001e-02,4.453611355660024029e-02,1.905531456284398351e-02,4.760266284529408171e-02
1.316709950139518213e-02,4.903378332075507273e-02,3.406798373488647419e-02,3.545217937278074410e-02
4.508294682245735790e-02,4.104874691435381889e-02,4.838462969787241108e-02,3.887599328962280942e-02
4.433699579672217145e-02,4.913235529344078117e-02,2.926975673997328498e-02,3.151075263063429083e-02
2.428751957487020746e-02,2.207475660336556678e-02,3.504726230956130284e-02,2.484198796580766241e-02
3.195540613438510591e-02,3.506374941215278929e-02,2.141959764671327177e-02,1.527296500925956653e-02
1.276633120670476844e-02,2.287424141946538952e-02,1.209171767481588555e-02,4.756072478684319343e-02
3.581676874397560217e-02,2.165113430938238326e-02,3.572306409145845074e-02,1.670900716716412077e-02
1.410006055070982603e-02,3.132982612416444074e-02,3.121026956208432235e-02,4.328115047379418878e-02
2.044779098416485072e-02,4.305326212934005442e-02,2.414526184676981518e-02,1.749597826791572316e-02
2.347075123998424925e-02,3.847388963339159335e-02,2.880065166059767034e-02,2.785857114333253198e-02
4.249560756974005149e-02,3.776480396087354696e-02,1.024392882296222898e-02,1.439646701384825200e-02
2.377238068241471075e-02,2.654765211503213457e-02,3.312774510263071653e-02,3.080208276584577021e-02
2.651076535863255285e-02,2.726865813464234012e-02,4.929605128606933534e-02,2.604608251870526442e-02
3.514730323221733344e-02,2.636570561640350085e-02,1.416149831673833501e-02,2.271320559450643040e-02
4.185646692550244047e-02,2.149063963320611489e-02,2.653865592959718522e-02,4.631668422919547889e-02
2.653256370808215053e-02,3.184506670463303074e-02,2.965891727992603366e-02,3.866586797370494960e-02
2.628471206920946629e-02,3.968885581563497827e-02,1.288188368273301791e-02,2.647741769232123815e-02
1.443229660492719238e-02,4.991332513314866021e-02,4.092715236431091613e-02,1.674410682870951933e-02
3.658306431186802987e-02,4.298536677109069531e-02,2.814547262661157984e-02,2.478449084439714872e-02
3.065660202061527839e-02,2.129914741520208196e-02,1.763700950792935693e-02,1.658573327644870254e-02
1.615357329383998453e-02,3.571836909617618488e-02,4.053890978116682364e-02,4.912112460938065223e-02
3.870854006115441448e-02,3.965660981782904992e-02,2.096551804326882845e-02,4.799206694132870238e-02
2.155375137231977864e-02,1.342868197248844875e-02,4.616386828473682813e-02,2.943675107717140527e-02
2.360891300750969993e-02,2.591608564209526427e-02,3.057377102074781972e-02,4.634322973069751606e-02
3.557610775858257440e-02,4.898831472097470857e-02,2.165541456600762749e-02,1.341773253387233168e-02
4.252158060627022479e-02,1.453979031054097870e-02,1.400180374835891320e-02,2.646523797940366490e-02
2.087188003017936833e-02,1.396766869655824243e-02,3.735722963467601881e-02,1.143026393862314749e-02
1.551615336757973182e-02,3.029429709187741321e-02,4.362748546523668308e-02,4.397365803504118403e-02
2.341281791936700857e-02,3.919311875350747071e-02,1.324708676548040295e-02,1.773283629107426027e-02
1.879340263703536962e-02,3.620558746880507550e-02,1.062352826172623284e-02,1.570438258159324862e-02
1.497731375352607738e-02,3.497857779358628377e-02,4.807608631497279489e-02,3.299765111447215682e-02
2.567604267330120954e-02,4.065530262706223974e-02,2.547549023115248945e-02,4.137291791079422687e-02
2.995305635079189427e-02,2.845212218202122778e-02,4.917257701783495777e-02,2.899474851044440277e-02
1.790952126076201384e-02,2.805438466359334165e-02,1.132637573329923174e-02,2.409085953598052998e-02
4.928816365756377715e-02,3.573533841088738505e-02,1.632946557925644623e-02,4.039283690711979735e-02
3.119056453719364075e-02,4.672666625543695634e-02,4.822836023470662703e-02,2.892015166321827702e-02
2.020791405788794487e-02,3.218650978879342150e-02,1.285122217935841249e-02,2.426778542323380916e-02
1.885589873914501891e-02,1.997796526663444400e-02,4.031310563584759171e-02,4.588464205958167619e-02
2.876633905452428280e-02,4.850637278207902553e-02,3.107607974593523670e-02,4.348358179949871061e-02
2.417244405190951267e-02,4.275346933351266421e-02,2.584126254130987566e-02,2.825768353603162752e-02
3.270465237541686498e-02,3.706103630937763321e-02,1.524058632061112487e-02,2.889012199776545831e-02
3.263566105692332353e-02,1.891112887929773806e-02,2.930304949383163993e-02,2.610454278157739449e-02
2.104935089102392617e-02,4.624720125041122815e-02,2.328464738536529383e-02,4.534787914154513044e-02
1.562029986838957447e-02,4.151020262976781033e-02,3.193606490485982607e-02,1.069513603765768518e-02
3.042225273655459888e-02,4.725241664705658040e-02,3.325045933068611348e-02,2.051476626137910958e-02
4.420532863582824629e-02,4.162867477334823013e-02,2.394846065553487766e-02,4.524128937095500680e-02
4.761285478303608348e-02,1.146323933503405265e-02,3.789084586261445842e-02,2.775915655034353474e-02
4.755948557994184311e-02,4.193391400988713547e-02,3.301887303854575406e-02,1.235375573961577066e-02
4.761607049042153317e-02,1.528322376119485917e-02,2.391654937964092509e-02,2.561153855046453473e-02
4.715703292007079883e-02,3.038584667300447267e-02,3.861770525643798413e-02,1.740355757924668192e-02
2.273347228788297203e-02,1.571500275713830913e-02,1.161479322468394505e-02,3.191668936536051077e-02
2.025177897960908635e-02,3.167271637753853175e-02,2.881587849119271461e-02,2.215740396320679470e-02
1.377728921014443296e-02,4.267099513920702414e-02,2.895522862023366950e-02,3.193206754673782316e-02
1.109191897472194301e-02,4.253339858724531491e-02,4.657364476994364788e-02,2.428512965691383835e-02
3.218347968152425465e-02,4.388258546402848403e-02,2.380938327090847961e-02,2.842779038157743771e-02
1.831263259831308887e-02,4.996537907519996158e-02,3.933034415707250403e-02,4.216048869562256246e-02
4.079842477300360537e-02,2.559199412058492384e-02,1.577216914560042663e-02,3.308342910265641562e-02
2.552284630951238281e-02,2.299152826090552354e-02,3.717408475081201980e-02,4.274737807705599607e-02
3.551211235246457681e-02,1.243614924770073717e-02,4.286839170658385267e-02,3.613923117381102196e-02
2.180512445651523745e-02,1.845436125302699765e-02,2.131246834397446110e-02,1.027110250630735439e-02
3.580395023733731058e-02,4.303234529164320921e-02,2.610279542391347185e-02,3.340128791914371426e-02
3.063306816392468573e-02,3.616987838345278594e-02,4.899757753920128828e-02,3.739101609169958457e-02
1.070685272277059792e-02,2.858176630220930770e-02,1.229100894307975922e-02,4.141781047534505433e-02
2.617311451958930640e-02,4.245105333187045721e-02,1.987979357134875280e-02,1.370344399203938211e-02
1.429811096105187626e-02,4.457502385867234684e-02,3.636876628620914348e-02,4.213624457766586284e-02
4.634708420913172949e-02,2.957503607293161807e-02,1.815163379450335235e-02,4.362853133232733743e-02
2.175280686699289368e-02,2.434363884738466322e-02,1.917455745879516338e-02,1.781724976814968997e-02
1.499427696456514386e-02,3.645616986503497081e-02,1.486830568187547108e-02,2.239877919281182267e-02
3.497860432902681616e-02,3.819190501039668173e-02,3.219159231663556997e-02,2.435373756670446144e-02
4.934295119153696979e-02,2.223912226246669427e-02,4.586707589663691770e-02,1.351761150060107330e-02
4.443166112390457140e-02,1.140067093564365273e-02,4.102795208837924090e-02,1.809636308903463109e-02
2.249790629878251763e-02,3.899083021451092007e-02,4.344765145932980716e-02,1.937290488128670662e-02
2.451439269512080410e-02,1.664603744959970016e-02,1.145204875345971936e-02,1.651326169237697650e-02
3.137062556159760096e-02,4.043149353724499045e-02,3.331523255501849662e-02,1.705097041709853489e-02
3.042615428694211976e-02,4.240748901146659811e-02,4.023027272350938877e-02,4.890180918583426906e-02
1.997817930830270844e-02,1.524495611460218239e-02,2.140939678528241269e-02,2.472316076285216782e-02
4.748898157094137706e-02,3.369671442818048673e-02,4.255216397258219929e-02,4.732727817981600277e-02
2.779527325537663879e-02,1.842512018199860685e-02,4.782086466525296148e-02,2.035841812820591082e-02
3.357466776618564519e-02,2.510788531286943515e-02,3.152915480254565861e-02,4.757856567935982856e-02
3.149600650117075767e-02,1.590868689760091548e-02,3.762287086841717421e-02,4.184180432916480979e-02
3.446121100721948743e-02,4.306791101408549705e-02,1.030828814158545916e-02,1.209622536183615864e-02
3.351560447506145290e-02,3.409534984395703322e-02,4.736267454122354559e-02,3.744199428973408322e-02
1.896024952354985471e-02,1.498672749866516822e-02,1.510598611517965408e-02,2.303311669953546359e-02
4.259740894897325741e-02,2.638638510368784135e-02,4.735625419601491304e-02,2.339909184877536283e-02
4.772358506380751375e-02,3.190032745580153456e-02,4.006433517798983074e-02,4.150800168653177857e-02
4.476716871557237520e-02,2.759024724883703261e-02,1.848111960254893507e-02,2.294721256513059665e-02
3.538919769361512091e-02,3.502881409402309326e-02,4.294111451033497118e-02,3.779361914983336845e-02
3.619408252334207349e-02,2.056655437747330339e-02,2.947840395744064090e-02,4.968703351228985488e-02
3.612372626991100510e-02,3.113781148485542799e-02,3.086210560269344455e-02,3.153484322652297389e-02
2.445397876064000359e-02,1.507945184577414235e-02,2.014343097177635766e-02,1.950270813082606580e-02
1.001421223781734718e-02,3.579186991717200200e-02,4.440865026684476941e-02,4.598639223742839038e-02
4.257567621732925162e-02,2.228586295254740904e-02,2.961801142910236440e-02,3.065434040733773513e-02
3.094304831473003448e-02,4.898357381697086149e-02,4.662988629816267744e-02,4.001031332612455665e-02
4.792600494060275662e-02,2.725623826787711146e-02,3.240447065493179402e-02,4.539529587327058996e-02
1.669762218328222497e-02,3.519795643472117125e-02,3.954719664531527318e-02,1.410726210733644764e-02
1.176339343275474049e-02,4.027826822157609676e-02,1.429535334185417887e-02,4.103434699680083564e-02
4.501419622306149226e-02,2.658618918322781105e-02,4.610095342373707328e-02,2.755664561196228407e-02
2.648396938694101699e-02,2.357203485096693446e-02,4.240674992261711518e-02,4.022328881536298140e-02
2.777414509990826230e-02,2.368963545279135358e-02,3.308772506521461682e-02,1.818561367806960372e-02
4.524569714954684851e-02,3.481779609659579194e-02,4.798250574865492446e-02,3.250305527403000300e-02
2.515708031339777134e-02,3.671257431841332131e-02,1.771077472973072234e-02,2.716832823191660945e-02
4.708333988999543335e-02,1.719818372575180471e-02,2.120740721025674014e-02,1.013555387045627677e-02
3.285938246400119805e-02,2.305009994062012790e-02,1.250709505850787148e-02,2.696007388516900860e-02
4.909745917183178793e-02,1.038123718633603317e-02,4.647737272826872601e-02,3.920120847129084790e-02
3.819153678992875944e-02,3.643873252761754833e-02,2.553147757536886053e-02,3.357175182538683217e-02
1.142872764008614692e-02,4.908728638968430646e-02,4.652983683089408767e-02,3.219634766526164454e-02
3.170387878237174162e-02,2.332053790584018640e-02,2.206660729066593774e-02,3.344780778777994151e-02
3.444767592293798003e-02,4.277627948794853613e-02,3.389404308769857627e-02,1.052588944959002848e-02
1.385449502291434196e-02,2.777758734975334376e-02,2.123284121549242481e-02,3.635075605325234493e-02
4.880461952180650126e-02,4.502486884512543058e-02,4.419620778913489062e-02,4.405165755933634908e-02
2.035146825832477926e-02,4.661197722755736073e-02,4.954929452444422483e-02,2.027482678261767826e-02
1.389726773319009158e-02,2.065132749823024583e-02,3.574588972260538816e-02,3.515634203249709544e-02
1.202758983312322144e-02,4.600838897919112824e-02,2.086764289942850265e-02,4.368660775272821539e-02
3.785627127735123609e-02,1.543538147164854116e-02,2.083233559244701549e-02,2.651884663653907709e-02
3.275069854181397039e-02,3.904904726881916477e-02,2.464635081250295817e-02,2.090202280230437845e-02
1.718028780202119840e-02,4.683237211679901202e-02,3.920853956057469836e-02,1.617232491797048963e-02
2.212507246613266282e-02,2.616057282668481088e-02,2.588013906692269300e-02,2.483195463874034170e-02
2.223009548902159932e-02,2.894818261762861084e-02,1.129895217711081312e-02,3.034597391175561376e-02
2.047602179809920875e-02,1.357392572656178353e-02,2.574034163467513181e-02,4.573986291858843367e-02
2.007837917722471444e-02,4.153038203490751895e-02,2.730350862109518634e-02,1.289637809994521878e-02
